inputName,n
values_311,9
values_183,4
values_54,5
values_390,8
values_890,11
values_711,6
values_471,7
values_995,7
values_443,6
values_464,4
values_774,8
values_200,2
values_747,4
values_758,2
values_30,8
values_820,11
values_393,3
values_576,8
values_445,7
values_662,2
values_403,10
values_640,3
values_59,7
values_490,8
values_194,8
values_751,11
values_663,7
values_938,6
values_532,6
values_885,6
values_713,3
values_193,9
values_650,8
values_564,5
values_267,3
values_147,3
values_709,8
values_857,6
values_334,5
values_965,6
values_824,2
values_784,8
values_229,4
values_538,8
values_463,6
values_741,2
values_85,7
values_493,3
values_794,6
values_202,10
values_74,7
values_410,7
values_469,6
values_394,6
values_149,3
values_945,3
values_293,8
values_456,6
values_975,7
values_547,2
values_164,10
values_720,10
values_833,9
values_90,7
values_954,11
values_483,2
values_990,8
values_113,10
values_878,11
values_942,4
values_126,5
values_666,4
values_960,5
values_783,2
values_735,11
values_439,5
values_860,5
values_18,3
values_173,11
values_454,6
values_176,6
values_698,8
values_869,9
values_697,10
values_509,8
values_189,2
values_714,5
values_270,6
values_863,10
values_548,3
values_359,10
values_512,5
values_656,4
values_684,5
values_171,3
values_675,5
values_657,5
values_333,2
values_599,5
values_129,7
values_886,7
values_107,4
values_272,2
values_52,9
values_819,5
values_682,9
values_44,10
values_914,4
values_346,2
values_151,5
values_550,8
values_326,6
values_836,9
values_437,5
values_984,11
values_17,9
values_748,7
values_581,4
values_705,7
values_121,2
values_219,11
values_321,8
values_843,2
values_606,7
values_898,4
values_601,8
values_36,6
values_282,7
values_395,7
values_449,10
values_209,7
values_956,5
values_579,11
values_484,8
values_521,2
values_617,7
values_516,8
values_358,2
values_335,6
values_139,3
values_992,4
values_211,6
values_507,2
values_921,6
values_138,8
values_275,8
values_614,9
values_49,4
values_227,9
values_203,2
values_172,4
values_86,8
values_178,9
values_978,5
values_253,7
values_291,10
values_911,9
values_230,6
values_318,2
values_798,4
values_638,10
values_112,3
values_201,6
values_629,9
values_337,5
values_37,8
values_56,11
values_316,2
values_829,8
values_63,9
values_35,8
values_519,6
values_481,4
values_278,10
values_186,10
values_702,6
values_722,2
values_97,10
values_329,2
values_75,9
values_560,9
values_612,8
values_421,4
values_639,6
values_939,10
values_198,11
values_840,6
values_415,2
values_405,10
values_100,3
values_726,3
values_265,10
values_743,9
values_436,4
values_583,10
values_525,8
values_677,5
values_289,7
values_255,8
values_529,8
values_826,2
values_362,5
values_355,10
values_506,9
values_315,10
values_604,5
values_57,8
values_133,2
values_787,4
values_799,2
values_765,10
values_887,2
values_952,10
values_631,2
values_306,8
values_497,11
values_821,8
values_618,4
values_271,2
values_645,3
values_985,2
values_400,4
values_562,3
values_590,2
values_648,3
values_325,5
values_883,6
values_827,4
values_854,8
values_307,9
values_88,9
values_958,8
values_251,5
values_902,11
values_680,8
values_884,8
values_901,2
values_354,8
values_420,3
values_103,4
values_10,2
values_474,3
values_53,5
values_8,8
values_39,3
values_755,7
values_124,4
values_841,9
values_510,9
values_989,3
values_706,9
values_257,8
values_811,3
values_111,6
values_47,3
values_928,10
values_561,3
values_383,8
values_498,6
values_60,8
values_737,4
values_624,4
values_973,11
values_472,7
values_280,4
values_389,6
values_651,8
values_642,4
values_668,9
values_551,6
values_750,11
values_592,4
values_89,10
values_411,5
values_620,7
values_357,7
values_247,5
values_692,10
values_572,10
values_757,5
values_566,6
values_216,5
values_951,8
values_910,10
values_338,10
values_461,6
values_730,2
values_734,7
values_51,3
values_678,10
values_327,10
values_473,11
values_453,8
values_154,4
values_452,7
values_221,5
values_323,9
values_844,3
values_673,10
values_427,8
values_933,3
values_802,4
values_852,3
values_487,7
values_762,4
values_515,2
values_479,11
values_948,4
values_467,2
values_14,4
values_868,5
values_188,8
values_489,6
values_865,5
values_728,5
values_996,4
values_277,3
values_936,6
values_554,2
values_763,9
values_834,8
values_613,10
values_907,10
values_825,2
values_308,5
values_294,8
values_522,7
values_322,6
values_28,9
values_760,2
values_559,11
values_685,6
values_908,4
values_919,2
values_724,5
values_947,11
values_214,7
values_468,9
values_967,5
values_234,10
values_983,7
values_719,5
values_110,10
values_235,7
values_588,8
values_185,4
values_732,11
values_896,9
values_888,8
values_923,8
values_767,3
values_179,10
values_195,8
values_148,10
values_917,2
values_634,4
values_157,11
values_314,2
values_879,10
values_16,5
values_839,9
values_150,4
values_835,2
values_161,11
values_34,5
values_959,2
values_264,2
values_123,4
values_623,5
values_187,6
values_575,11
values_466,5
values_621,10
values_82,4
values_352,10
values_779,8
values_946,4
values_756,2
values_502,3
values_641,7
values_882,6
values_46,7
values_721,4
values_105,4
values_284,7
values_295,7
values_423,5
values_544,4
values_384,8
values_206,7
values_817,10
values_788,11
values_205,7
values_243,2
values_619,8
values_514,4
values_703,6
values_605,10
values_659,5
values_929,5
values_365,4
values_495,8
values_431,10
values_482,7
values_611,8
values_846,9
values_27,4
values_736,11
values_815,11
values_145,4
values_582,2
values_492,6
values_881,3
values_237,9
values_409,11
values_108,11
values_299,3
values_20,2
values_485,3
values_303,6
values_425,4
values_597,9
values_517,4
values_672,4
values_340,3
values_339,11
values_424,3
values_9,8
values_587,11
values_417,9
values_116,4
values_475,10
values_184,3
values_223,9
values_804,10
values_374,5
values_864,6
values_444,5
values_92,11
values_773,10
values_131,11
values_710,2
values_693,10
values_944,4
values_573,8
values_712,3
values_718,4
values_3,6
values_805,4
values_98,7
values_304,11
values_897,2
values_153,7
values_368,4
values_689,6
values_830,4
values_29,11
values_301,8
values_286,6
values_580,3
values_593,5
values_80,10
values_416,9
values_305,7
values_142,8
values_800,10
values_661,6
values_73,8
values_297,9
values_167,10
values_594,4
values_367,4
values_552,11
values_608,11
values_797,3
values_288,11
values_764,4
values_622,7
values_785,7
values_676,10
values_330,5
values_595,7
values_968,7
values_503,7
values_378,10
values_610,9
