inputName,idum
values_331,2
values_377,3
values_128,9
values_336,7
values_632,9
values_166,5
values_744,8
values_837,11
values_807,3
values_838,10
values_723,11
values_874,11
values_627,2
values_555,7
values_446,5
values_716,6
values_240,2
values_140,7
values_317,9
values_83,8
values_696,8
values_413,8
values_94,2
values_937,9
values_199,6
values_596,8
values_0,6
values_953,3
values_906,5
values_742,4
values_396,3
values_159,7
values_238,7
values_136,5
values_915,7
values_99,3
values_771,3
values_96,3
values_768,5
values_67,11
values_565,8
values_848,3
values_114,7
values_61,9
values_511,5
values_729,7
values_460,7
values_832,7
values_348,2
values_182,3
values_986,11
values_180,9
values_930,4
values_274,9
values_309,9
values_496,11
values_165,11
values_553,8
values_870,11
values_795,7
values_361,4
values_302,11
values_586,8
values_880,6
values_665,5
values_527,4
values_372,5
values_382,7
values_43,5
values_935,2
values_2,10
values_790,2
values_152,7
values_871,4
values_434,7
values_775,9
values_500,5
values_220,3
values_875,4
values_249,4
values_808,6
values_859,4
values_539,2
values_635,2
values_311,5
values_183,3
values_54,3
values_390,2
values_890,5
values_711,2
values_471,3
values_995,8
values_443,6
values_464,7
values_774,3
values_200,3
values_747,2
values_758,6
values_30,5
values_820,7
values_393,3
values_576,4
values_445,3
values_662,9
values_403,4
values_640,7
values_59,7
values_490,9
values_194,2
values_751,11
values_663,11
values_938,6
values_532,2
values_885,4
values_713,11
values_193,11
values_650,9
values_564,10
values_267,2
values_147,7
values_709,8
values_857,2
values_334,9
values_965,4
values_824,5
values_784,2
values_229,6
values_538,5
values_463,7
values_741,8
values_85,4
values_493,6
values_794,7
values_202,5
values_74,4
values_410,6
values_469,8
values_394,9
values_149,3
values_945,5
values_293,9
values_456,8
values_975,9
values_547,11
values_164,9
values_720,5
values_833,8
values_90,10
values_954,7
values_483,5
values_990,3
values_113,7
values_878,4
values_942,10
values_126,9
values_666,10
values_960,7
values_783,6
values_735,6
values_439,10
values_860,8
values_18,11
values_173,10
values_454,6
values_176,4
values_698,2
values_869,2
values_697,3
values_509,5
values_189,10
values_714,7
values_270,9
values_863,9
values_548,10
values_359,11
values_512,5
values_656,10
values_684,7
values_171,2
values_675,8
values_657,7
values_333,2
values_599,6
values_129,11
values_886,6
values_107,9
values_272,5
values_52,10
values_819,8
values_682,3
values_44,3
values_914,11
values_346,6
values_151,5
values_550,3
values_326,9
values_836,11
values_437,11
values_984,8
values_17,4
values_748,11
values_581,6
values_705,11
values_121,9
values_219,8
values_321,4
values_843,5
values_606,10
values_898,6
values_601,2
values_36,11
values_282,9
values_395,6
values_449,3
values_209,11
values_956,6
values_579,5
values_484,2
values_521,9
values_617,8
values_516,9
values_358,10
values_335,9
values_139,2
values_992,2
values_211,3
values_507,2
values_921,11
values_138,9
values_275,3
values_614,3
values_49,7
values_227,3
values_203,2
values_172,4
values_86,8
values_178,9
values_978,6
values_253,10
values_291,6
values_911,9
values_230,8
values_318,10
values_798,7
values_638,2
values_112,11
values_201,10
values_629,10
values_337,8
values_37,10
values_56,11
values_316,9
values_829,9
values_63,10
values_35,4
values_519,3
values_481,6
values_278,11
values_186,4
values_702,6
values_722,10
values_97,7
values_329,5
values_75,8
values_560,5
values_612,8
values_421,6
values_639,6
values_939,5
values_198,5
values_840,9
values_415,8
values_405,11
values_100,10
values_726,2
values_265,5
values_743,5
values_436,7
values_583,11
values_525,10
values_677,10
values_289,6
values_255,4
values_529,3
values_826,4
values_362,11
values_355,7
values_506,4
values_315,2
values_604,10
values_57,9
values_133,8
values_787,11
values_799,4
values_765,7
values_887,4
values_952,3
values_631,8
values_306,6
values_497,9
values_821,3
values_618,9
values_271,9
values_645,3
values_985,5
values_400,11
values_562,3
values_590,9
values_648,9
values_325,4
values_883,4
values_827,3
values_854,3
values_307,9
values_88,7
values_958,5
values_251,9
values_902,9
values_680,6
values_884,6
values_901,5
values_354,3
values_420,3
values_103,8
values_10,6
values_474,8
values_53,10
values_8,7
values_39,10
values_755,3
values_124,2
values_841,9
values_510,9
values_989,11
values_706,2
values_257,10
values_811,7
values_111,7
values_47,11
values_928,11
values_561,4
values_383,11
values_498,7
values_60,8
values_737,4
values_624,6
values_973,4
values_472,9
values_280,4
values_389,10
values_651,11
values_642,8
values_668,3
values_551,2
values_750,5
values_592,3
values_89,6
values_411,4
values_620,5
values_357,5
values_247,3
values_692,2
values_572,4
values_757,10
values_566,7
values_216,2
values_951,10
values_910,7
values_338,5
values_461,10
values_730,8
values_734,5
values_51,5
values_678,5
values_327,11
values_473,9
values_453,9
values_154,8
values_452,6
values_221,10
values_323,11
values_844,9
values_673,6
values_427,4
values_933,9
values_802,10
values_852,4
values_487,5
values_762,7
values_515,10
values_479,3
values_948,7
values_467,10
values_14,3
values_868,6
values_188,2
values_489,6
values_865,11
values_728,11
values_996,4
values_277,7
values_936,4
values_554,11
values_763,5
values_834,10
values_613,10
values_907,9
values_825,11
values_308,3
values_294,3
values_522,7
values_322,5
values_28,5
values_760,7
values_559,6
values_685,4
values_908,6
values_919,8
values_724,4
values_947,2
values_214,3
values_468,5
values_967,4
values_234,2
values_983,6
values_719,3
values_110,4
values_235,5
values_588,3
values_185,6
values_732,2
values_896,2
values_888,9
values_923,8
values_767,3
values_179,10
values_195,4
values_148,5
values_917,5
values_634,3
values_157,2
values_314,6
values_879,7
values_16,8
values_839,2
values_150,8
values_835,4
values_161,8
values_34,10
values_959,8
values_264,11
values_123,10
values_623,8
values_187,7
values_575,4
values_466,4
values_621,5
values_82,9
values_352,8
values_779,9
values_946,2
values_756,11
values_502,11
values_641,7
values_882,3
values_46,10
values_721,8
values_105,6
values_284,8
values_295,3
values_423,3
values_544,8
values_384,9
values_206,2
values_817,8
values_788,9
values_205,5
values_243,2
values_619,4
values_514,2
values_703,7
values_605,9
values_659,10
values_929,4
values_365,2
values_495,8
values_431,3
values_482,4
values_611,6
values_846,3
values_27,8
values_736,4
values_815,4
values_145,7
values_582,4
values_492,11
values_881,9
values_237,7
values_409,6
values_108,3
values_299,4
values_20,7
values_485,4
values_303,9
values_425,6
values_597,9
values_517,3
values_672,7
values_340,10
values_339,9
values_424,2
values_9,3
values_587,8
values_417,8
values_116,8
values_475,8
values_184,6
values_223,8
values_804,10
values_374,6
values_864,3
values_444,7
values_92,5
values_773,3
values_131,2
values_710,3
values_693,3
values_944,10
values_573,2
values_712,7
values_718,2
values_3,4
values_805,4
values_98,7
values_304,11
values_897,9
values_153,5
values_368,8
values_689,6
values_830,2
values_29,8
values_301,3
values_286,4
values_580,10
values_593,10
values_80,11
values_416,6
values_305,3
values_142,5
values_800,3
values_661,7
values_73,9
values_297,2
values_167,10
values_594,5
values_367,4
values_552,7
values_608,2
values_797,7
values_288,2
values_764,11
values_622,11
values_785,6
values_676,5
values_330,2
values_595,9
values_968,6
values_503,11
values_378,9
values_610,8
