inputName,size,a[size]
values_899,6,"{76, 122, -64, -46, 85, 45"
values_428,18,"{-64, -126, 13, 12, 112, 34, 118, 42, 73, 47, 100, -109, -125, 24, -12, 94, -120, 117"
values_858,23,"{-78, 4, -85, -55, -104, 39, 43, -122, 52, 119, 14, -87, 63, 17, -39, -122, -71, 15, -45, 69, -94, 5, -95"
values_546,3,"{-51, 60, 64"
values_432,7,"{62, -30, 61, 4, -99, 29, 74"
values_231,23,"{-86, 41, 2, -27, 88, 24, 53, 0, -71, -114, -48, -94, -100, 68, -103, 83, 123, -7, 14, -1, -76, -82, 87"
values_388,13,"{-79, 29, -106, 99, 48, 74, 44, 115, -107, -32, -14, 39, 122"
values_350,3,"{-90, -8, 19"
values_603,3,"{-120, 7, -8"
values_364,13,"{65, 35, -102, 42, -49, -39, -82, -76, -24, 81, -42, 80, -117"
values_530,21,"{60, -114, 102, 101, 31, -17, -53, 68, -60, -74, -43, 4, 5, -96, 86, -73, -100, 37, 23, -72, -31"
values_72,15,"{-7, -66, 48, 104, 95, 66, 35, -31, -12, 48, -35, -64, -38, -61, -82"
values_536,16,"{99, 20, -79, -9, 70, -85, -50, -67, 63, -27, 59, 109, 78, 12, -76, -19"
values_79,25,"{-76, 24, 108, -47, -61, -68, -92, -35, -45, 90, -78, -5, 103, -6, 61, -23, -109, -79, 80, 119, 48, -108, -68, -31, 8"
values_342,17,"{124, 11, -54, 56, -115, 72, -37, -8, -105, 118, -26, -110, 126, 31, 90, 77, 81"
values_803,26,"{-51, -64, 49, -98, -39, 9, -4, 82, -68, 98, 96, -41, -82, -43, -29, -54, 90, 50, -3, 90, 56, 87, -11, 114, 124, 93"
values_501,2,"{-66, -102"
values_540,12,"{2, 5, 52, 80, -78, -59, -96, 35, 51, 93, 120, -71"
values_955,27,"{-75, 99, 36, -4, -118, -31, 125, -8, -92, -50, -57, -46, -92, -19, 14, -43, 84, 85, 35, 41, -105, 49, 69, 122, -117, 89, -9"
values_191,13,"{-70, 106, 94, 53, 81, -71, 96, -26, -12, -18, 69, -58, 5"
values_812,23,"{50, 97, -112, -59, 28, 64, -28, 29, 31, 36, -87, 125, 3, 12, -14, 43, -124, -102, -117, -88, 73, -6, 58"
values_545,4,"{126, -103, 6, -121"
values_78,13,"{-36, -52, 63, -126, 97, 114, -94, 34, -11, -113, 100, 113, -3"
values_526,2,"{-77, -13"
values_695,19,"{-111, -66, 53, -1, -20, -32, 81, 86, 49, -18, 13, -13, 77, 94, 62, 9, -118, 63, -91"
values_87,28,"{2, 112, 112, -118, -9, 43, 123, -115, -32, -73, -107, -78, 52, 42, 73, 30, -17, -12, -42, 16, 36, -123, 113, 18, -31, -50, 74, 23"
values_300,14,"{-107, -9, 93, -113, 74, 88, -10, 101, 119, 105, -84, -54, -22, -109"
values_964,2,"{-38, -63"
values_998,23,"{113, 109, 8, 39, 76, -52, -11, -82, 35, -76, -89, -7, 34, 94, 63, -51, 78, 115, -41, -14, 23, -4, -64"
values_988,12,"{-119, 110, -85, -95, 84, 36, -55, -97, 101, 41, 121, -79"
values_6,12,"{90, -27, 46, -85, 36, -117, -115, -73, 39, -90, 118, -43"
values_625,7,"{-103, 122, 29, 91, -105, 56, -22"
values_518,8,"{-120, -1, 101, 77, -73, -82, 74, 53"
values_122,14,"{-60, 114, -60, 104, 23, -35, 100, -30, -125, 90, -43, -57, -4, -7"
values_541,25,"{-5, -2, -59, -25, 126, 3, 64, 50, 119, 69, -21, 38, 117, 38, 102, -29, 109, 10, 1, -38, 93, 86, -38, -118, -87"
values_279,26,"{-101, 81, 105, -18, -124, -12, -82, -5, 20, 5, -103, 70, 52, 71, -8, -124, 29, 5, 78, -3, -72, -42, -121, 90, 20, -60"
values_256,26,"{96, -118, -42, -90, 48, 18, -4, -126, 84, 22, -83, 62, -83, -62, -46, 90, -94, -100, 2, 54, -66, -101, 75, -1, -68, -32"
values_796,13,"{45, -101, 19, -4, -126, 91, -121, -14, -47, -123, -35, -123, -110"
values_504,26,"{93, -58, 72, -78, 98, -84, 103, -103, -61, 22, 85, -122, -7, -107, 120, 21, -49, 98, -101, 94, -115, -33, 41, -37, -28, -71"
values_752,7,"{65, 114, -84, -84, 44, -32, 25"
values_459,6,"{122, -114, 85, 105, -70, -2"
values_658,24,"{-33, -76, 8, 95, -48, -77, 42, 3, 82, 0, 68, -68, 104, -118, 59, 70, -31, 110, 84, 97, 8, -32, -121, -60"
values_408,9,"{60, 12, 32, -21, -75, 37, -63, -35, 114"
values_867,13,"{-28, 110, 19, 91, -117, -107, -117, -49, 21, 94, 115, 37, 88"
values_727,6,"{90, 71, 37, -19, 41, 36"
values_177,12,"{-73, 21, 3, 91, 96, 5, 110, -96, -43, 0, 50, 63"
values_823,13,"{-19, -3, 99, 102, 73, 59, -22, -77, 103, 104, -65, 83, -99"
values_822,5,"{-55, -34, -41, -44, 58"
values_218,19,"{27, 117, 100, 102, 39, -71, 20, 14, -124, -32, 49, 63, 31, 2, 36, -79, -53, -53, -40"
values_426,11,"{-15, 3, 31, 101, 113, 62, -38, -57, -82, -114, 51"
values_776,6,"{-40, -2, -42, -3, -88, 61"
values_143,18,"{26, -72, -92, -60, -53, -70, -70, 55, -37, -71, -96, -9, 107, 58, 0, -23, -84, 76"
values_739,21,"{21, 71, -90, 94, -27, -104, -58, -1, -29, 125, 62, 105, 26, 79, -20, -104, 64, 25, -80, -22, 22"
values_312,26,"{93, 39, 7, -114, -8, -46, 82, -85, 46, -50, -110, 31, 75, 122, -88, -3, 41, -54, -3, 94, -31, -81, 13, 38, -11, 49"
values_174,25,"{100, -26, 47, 76, -104, 123, 97, 5, -66, -22, -19, 102, 120, -67, 28, -35, 114, 98, -87, -100, 82, -24, -102, -21, -28"
values_669,5,"{-18, -113, -39, -87, 11"
values_120,13,"{80, 101, 81, -1, -59, -27, 40, -2, -80, -41, 35, -36, 43"
values_974,8,"{-29, -99, -41, 44, 73, -7, -17, 12"
values_217,3,"{-22, 80, 118"
values_866,2,"{80, 8"
values_192,15,"{-93, -106, 62, -102, -72, -16, -116, -108, -51, -20, -123, 108, -104, 46, -50"
values_328,27,"{124, 124, -75, 15, 59, -16, -42, -67, 95, -107, 99, 109, -75, 44, 9, -106, -109, -28, 30, -86, -103, 117, 51, 40, -61, 122, 17"
values_68,12,"{-35, 75, -36, 43, -68, -102, 126, -3, 107, 92, 0, 35"
values_387,23,"{11, -23, -39, -100, 97, 28, -16, 56, 103, 71, 54, -42, -93, -12, 112, -1, 101, 48, 91, 91, 23, -29, -18"
values_69,3,"{48, -96, 85"
values_749,7,"{48, -48, 33, 29, 102, -122, 11"
values_135,2,"{-60, -92"
values_341,16,"{17, -54, -38, -26, -55, -56, -100, 119, 2, 28, 84, 13, 42, -15, -88, 9"
values_494,11,"{-2, -18, -77, -7, 102, 13, -31, 65, -77, -82, -80"
values_1,10,"{101, 25, -15, -74, -25, -103, -63, 90, -68, 57"
values_589,12,"{-37, -1, 105, 126, 21, -81, -4, -78, -60, -50, 75, 46"
values_925,8,"{38, 93, -35, -116, -93, -60, -117, 98"
values_524,20,"{71, -74, 100, -5, -103, -17, -32, 90, 100, 35, 82, 109, -104, -114, -76, -15, 96, -31, 126, 78"
values_994,10,"{-90, -57, 118, -118, -96, 61, 4, 84, 22, -25"
values_856,7,"{117, 6, -75, 62, -94, -104, 67"
values_156,21,"{67, 12, -29, -10, -16, -11, -22, 31, 90, 30, 13, -82, -90, -75, -112, -111, -84, 105, 36, 68, 57"
values_470,25,"{-60, -19, -14, 14, -60, -89, -7, 61, 75, 0, -40, -68, -108, -33, 45, -7, 8, 43, -40, -53, -123, -20, 71, 66, -89"
values_207,15,"{-98, -68, -10, -62, 3, 16, 57, 80, -39, 125, 29, -52, 68, -87, -102"
values_655,14,"{-51, -61, 108, -18, -4, -89, 33, 96, 9, -97, -34, 95, -32, 10"
values_441,21,"{-119, 113, 57, 60, 26, 12, 18, -81, -43, -107, 30, 75, -61, 100, -99, -93, -54, -43, -79, -79, -5"
values_109,21,"{38, -96, 30, -6, -55, -97, -28, -12, -63, -106, -18, 76, 60, 86, 97, -122, -7, -58, -51, -56, -45"
values_45,12,"{-30, 118, -9, -65, 83, 104, -120, -97, -6, 39, -55, -53"
values_125,20,"{-113, -120, -15, 42, -96, -75, -104, -125, 4, -60, -53, -42, -27, -117, -124, 84, -115, 66, -80, 11"
values_600,26,"{41, 52, -124, 126, 86, 70, -66, 79, 25, -32, 124, 73, -38, 122, 125, -120, 81, 87, 14, 72, 96, -108, -35, -120, -8, 98"
values_708,15,"{0, 79, 95, 108, -59, 62, -67, 119, -52, 89, 69, -37, -55, 117, 2"
values_791,15,"{123, 102, 71, 82, -76, -7, -107, -113, -82, -30, -87, 100, 109, -93, 74"
values_912,7,"{16, -2, 28, -5, -21, -50, 119"
values_533,5,"{-38, -75, 70, 53, 63"
values_418,6,"{86, -75, 3, -39, 63, 74"
values_228,24,"{101, -18, -117, -47, 100, 26, 36, 2, -43, -14, 4, -119, -39, -98, -125, 76, -35, 106, 31, 34, -98, -21, 96, -30"
values_585,17,"{106, -125, -80, -62, -47, 12, 83, -37, -19, 76, -8, 25, -106, 12, -64, 120, 109"
values_465,12,"{-70, -102, -98, 84, -95, 20, 111, -121, 110, 100, 60, -58"
values_239,19,"{-19, 18, -97, -59, 12, 66, 16, -96, 116, 42, -29, 67, -19, 32, 78, -112, -8, 113, 73"
values_842,7,"{32, -57, -126, -101, -73, -50, -63"
values_208,3,"{95, 18, -115"
values_932,4,"{20, 53, 69, 77"
values_957,24,"{-61, 86, -88, 33, -17, 26, -119, 95, -24, -9, -89, 76, -98, -33, 92, 33, 11, -61, 56, -68, -37, -53, 13, 105"
values_563,7,"{0, 68, -60, 44, 80, 26, 5"
values_766,9,"{-53, 26, -45, -33, -76, -47, -93, -83, -122"
values_476,9,"{54, -6, -15, 46, 96, 96, 7, -20, -54"
values_175,25,"{122, 87, 94, 43, 43, 73, 49, -12, -99, -40, -80, -120, -65, 2, 75, 48, -78, -3, 104, 92, -108, 65, 122, -80, -6"
values_591,13,"{-123, -8, -69, 117, 98, 120, 118, -58, -7, -121, 70, -110, -89"
values_997,9,"{-80, -98, 83, 0, 28, 17, -107, -120, -33"
values_385,13,"{-108, 124, 57, 54, -115, 51, 124, -39, 39, 76, -74, -53, 23"
values_115,22,"{85, -40, -24, 24, -86, -88, 9, -59, -40, -97, -113, -86, 79, 40, -85, 82, 97, 83, -36, -14, 70, -54"
values_653,28,"{-8, 70, 39, 79, 53, -23, 14, -96, -109, -48, -45, -75, 59, 46, 37, 126, -27, 90, 110, 104, 51, -27, 34, -89, 5, -81, 115, 56"
values_753,24,"{38, -67, -99, 1, 29, 55, 111, -2, 61, -12, -38, 39, 35, 51, 57, -106, -18, -68, 68, 83, -115, -109, 26, -19"
values_241,6,"{113, -38, 79, 11, 3, -50"
values_197,12,"{35, -23, -21, -98, 122, -1, -32, 108, 77, -101, -1, -64"
values_636,2,"{-23, -74"
values_450,27,"{50, -23, 91, 107, -98, 73, -15, -70, -79, -3, -86, 82, 67, -123, -88, 19, -119, -72, 30, -19, 81, -38, -47, -97, 125, 70, -62"
values_106,19,"{-109, 76, 20, 110, -116, 94, -32, -71, -68, -5, 118, 110, -96, 33, -70, -33, 85, 70, 42"
values_699,2,"{10, 58"
values_578,20,"{-17, -42, -39, -41, 63, -32, 25, -44, -74, 43, -80, -125, -91, -76, 111, -18, -108, 59, 99, -95"
values_644,27,"{57, -34, -85, 22, 53, 71, -102, -41, -56, 59, -49, -35, 37, -74, 4, -105, -114, 65, 48, -26, 95, 80, 10, 124, 16, 23, 53"
values_570,21,"{-105, 73, -69, 27, -37, -47, -61, -111, 65, -100, -119, -118, 115, 116, -79, 9, -12, 101, -18, 11, 4"
values_873,22,"{-110, -19, 37, -39, -12, 10, -17, -45, 100, -105, -31, 108, -36, -105, 57, 81, 28, -104, -92, -63, 55, -19"
values_33,26,"{113, -103, -20, 19, 19, 109, 8, -9, -11, 101, -73, -121, -15, 75, 73, 98, -28, -27, -120, 92, -67, 48, -29, -61, 20, 109"
values_210,15,"{0, 93, -13, 38, 94, -122, 124, 0, 50, -67, -33, 20, 59, -4, 124"
values_486,23,"{99, 30, 114, 52, -48, -116, -18, -72, -93, -101, 24, -63, -18, 114, 102, -1, 0, -69, -33, 18, -59, -108, 2"
values_252,2,"{63, 54"
values_694,15,"{23, 114, -83, -69, -88, -26, 86, 120, 101, 51, 64, 98, 110, -108, 6"
values_759,25,"{-105, 60, 93, -67, 73, -32, 14, -24, -120, -15, -35, -36, -63, 97, -12, 21, -126, -51, 103, 98, -38, 94, -99, 73, 54"
values_245,8,"{-111, -37, -44, -75, 40, 53, -44, 13"
values_15,4,"{101, 38, -77, -78"
values_792,24,"{-106, -32, 106, -19, 13, 124, -121, 122, -76, 80, 37, 63, -107, 77, -19, 76, -35, 13, 61, -124, 42, -2, 9, -126"
values_248,23,"{12, -50, -61, 52, -38, -123, 104, -49, -106, -8, -106, -75, -32, 100, -31, 14, -20, -111, -32, -42, -88, 39, -30"
values_246,18,"{32, 73, 84, 104, 6, 92, -29, 37, -87, -105, 103, -92, -62, 124, -93, 31, -5, 118"
values_556,13,"{54, 10, 5, 12, -112, -89, -109, -87, -82, 27, -39, -79, -65"
values_513,18,"{-63, -106, -112, 75, 89, -38, 102, 124, -33, 38, -115, -54, -73, 31, -63, 10, -25, 111"
values_93,21,"{-17, -88, 64, 85, -68, 120, -11, 57, -24, -94, 7, 8, -112, 56, 37, -119, -102, -90, 24, 34, -65"
values_558,2,"{2, -106"
values_991,27,"{118, 28, -66, -98, -57, 15, 3, -19, -62, -26, 63, -29, -93, 100, 21, -45, 83, -45, -69, -47, -49, -15, 68, -85, 111, 57, -18"
values_181,20,"{104, 85, 100, 11, -91, 119, -33, -55, 65, -125, -118, -40, -96, -75, -125, 67, 24, 26, -22, -73"
values_674,3,"{-54, 62, -121"
values_652,7,"{-121, 72, 122, -80, 94, 65, 83"
values_344,25,"{-59, -35, 21, -56, -105, 36, -59, -36, -35, -64, -108, 102, -72, -105, 46, 75, -112, -45, 88, -111, 21, -7, 75, 11, -3"
values_715,17,"{27, 4, 26, 15, 97, -17, 118, 12, -66, 80, 44, 22, -70, -59, -32, 99, -30"
values_528,2,"{-85, 114"
values_276,24,"{22, 122, 81, -34, 1, -28, 42, -61, -87, -116, -31, -82, -19, 69, -37, 67, 112, -122, 9, 24, -49, 12, 104, 29"
values_24,6,"{122, -102, 47, -43, 40, -8"
values_296,12,"{101, -11, 93, -55, 109, -62, 86, -117, -30, -41, -50, -60"
values_244,3,"{95, -17, 108"
values_380,26,"{-105, -48, -19, -114, 5, 70, 74, 16, 76, -75, -16, 114, -26, 12, -80, -32, 76, -91, -122, 42, -95, 86, 70, 54, -110, 74"
values_25,21,"{-12, 11, -63, -3, 10, 126, 23, 20, 120, -101, 12, 81, 83, 46, -57, 15, 100, 87, -99, 0, -109"
values_740,22,"{96, 106, 21, -62, 48, -49, 38, -95, 61, 114, 82, -75, -106, -124, -77, -32, 104, -92, 96, -97, 11, -19"
values_478,5,"{-61, 74, 27, -42, -72"
values_379,18,"{-22, -116, -84, 61, -116, -125, 54, 12, 70, -32, -114, 16, 46, -7, 21, 82, -14, 101"
values_810,25,"{29, 79, 50, 68, 99, 97, -123, 102, 63, -120, -24, -13, -7, 116, -106, -87, 80, -5, 12, -39, -42, -31, -69, 76, -26"
values_440,22,"{-12, -104, 63, -92, 121, 61, 40, 71, 23, 43, -112, 5, -20, 72, -61, -124, 39, -118, 107, -69, -11, 1"
values_543,17,"{-46, -44, 21, 110, 10, 110, -110, -43, 29, 62, 39, 123, -55, -85, -35, 90, 32"
values_130,10,"{54, 111, -78, -69, -21, 81, 83, -107, 93, -107"
values_225,23,"{-124, -37, 60, -119, -122, 80, -36, 87, -120, -115, -111, 3, -78, 74, -50, -80, -76, -123, 105, 76, 12, -119, 16"
values_285,21,"{6, -34, 90, 124, -16, 38, -23, -52, -110, -110, 49, 100, -115, 23, 23, -122, -71, -36, 89, 9, 7"
values_363,6,"{-86, -70, 66, 98, 78, -5"
values_667,25,"{-109, -21, -69, 2, 31, 73, 48, -60, -74, 5, -53, -46, 65, 17, 100, 48, 18, -86, 106, -119, 76, 120, -19, 22, 86"
values_26,8,"{126, -46, -50, 69, -101, 77, 60, 15"
values_793,11,"{-22, 122, 96, -76, -28, -120, -120, -46, -4, -47, 73"
values_772,15,"{-87, 29, -44, -21, -17, 53, -46, -66, -27, 122, 91, 22, -100, 97, 18"
values_931,18,"{-110, -9, 92, -123, -56, -53, -124, -93, -22, 33, 28, 69, -100, -67, -77, 101, 25, -35"
values_981,12,"{-121, 65, 56, 23, 9, -42, -42, 24, -95, 103, 73, 87"
values_422,20,"{89, 125, 104, 113, 9, 119, -83, -51, 42, -115, -11, -21, -26, -64, 0, 63, 37, 88, 112, 54"
values_920,3,"{-124, 69, 33"
values_259,18,"{77, -14, -62, -74, -117, -4, -81, -13, -35, 26, 101, 50, 3, 48, -110, -28, 115, -35"
values_477,5,"{-87, -85, 43, 75, 28"
values_738,7,"{-126, 78, 112, 66, 71, -41, -12"
values_430,2,"{6, 42"
values_922,21,"{113, -88, -125, 74, -29, -68, 50, 67, -125, -1, 30, -71, 43, 94, 6, 13, 81, -101, 79, 61, -107"
values_903,14,"{101, -47, 25, 2, -35, 19, -62, -46, -111, 88, -54, -43, -30, 24"
values_761,4,"{-44, -119, 114, -69"
values_204,3,"{-83, 39, -107"
values_48,6,"{5, 14, -108, -24, 25, 7"
values_71,25,"{-33, -18, 68, -78, -28, -42, 103, 13, 103, 1, -1, 12, -104, -6, -87, 83, -16, 37, 90, 13, -61, -21, -69, -41, -21"
values_851,16,"{119, -19, 117, 78, -85, 79, -69, -34, -108, 104, -32, -69, -108, 110, -86, 71"
values_347,9,"{13, -80, 104, 91, 28, 70, -86, -57, 70"
values_725,13,"{-74, -73, -79, 89, 102, 46, 112, 95, 15, 6, 77, 79, -85"
values_266,26,"{-63, 57, -23, -5, -46, 111, -95, 36, -14, -25, -80, -36, 24, 26, 89, -76, -39, 17, 115, 52, -118, 51, -95, 41, 63, -48"
values_448,13,"{-75, -93, 58, 56, -54, -3, -89, 44, 25, -121, 115, -40, -36"
values_934,21,"{66, 5, 69, -60, 49, 49, 94, 5, 79, -25, -11, 55, 0, -74, -108, -23, 63, 97, -108, 95, -33"
values_531,7,"{-60, 69, -87, 27, 108, -53, 88"
values_224,23,"{-109, -23, 12, 121, -101, 74, -84, 126, -43, 31, 16, 90, 107, -90, 4, -107, 58, -88, -50, -49, -109, -60, -101"
values_686,24,"{-24, -55, -33, 34, 60, 111, -84, 34, 120, 34, -55, -71, 113, 47, 52, 69, 107, -66, -6, -33, -35, 68, 30, -108"
values_927,2,"{-41, -124"
values_407,22,"{114, -36, -23, 112, -3, -37, 29, -15, -86, -102, 115, -9, -67, 41, 73, 31, 118, 81, 61, -59, -35, -69"
values_76,7,"{-72, 95, 107, 106, -76, 33, 17"
values_949,25,"{31, -82, -13, 72, 6, 73, -106, 69, 52, 47, -123, 73, 103, -94, 71, 94, -125, 8, 75, -109, -74, 26, -94, 85, -110"
values_969,4,"{-59, 42, 8, -102"
values_781,7,"{30, 12, -39, 54, 3, -88, -121"
values_7,13,"{108, -46, -15, 0, 53, -22, 123, 63, 118, -52, -20, 6, -108"
values_683,26,"{-70, 11, 78, -119, -22, 15, -122, 58, -79, 26, -95, 12, 81, 83, -90, -45, 47, 57, -110, 111, 24, -96, 12, -70, -91, -4"
values_376,2,"{-80, -65"
values_877,20,"{-111, -103, 108, -24, -79, -9, 62, 107, -21, -41, -32, 102, -66, 59, -65, 92, -106, -123, -84, -91"
values_654,13,"{31, -57, -19, 102, 25, 99, 96, -124, -47, -6, -123, -22, 44"
values_508,25,"{68, -79, 105, -85, -28, 74, 10, -35, -54, -42, 9, -92, 53, -98, -9, -46, -85, 20, -114, 40, 78, 46, 45, 45, 90"
values_332,15,"{-50, -47, 106, 104, 93, -113, 27, 90, -35, -88, 57, 34, 33, 107, -78"
values_281,23,"{-14, -94, 62, -23, 120, -27, -63, -43, 69, -123, -1, 39, 6, 54, -116, -120, 94, -74, -68, -100, 11, -115, 18"
values_381,13,"{54, 48, -21, -47, 46, -99, 35, -42, 81, -37, -83, -103, -117"
values_769,8,"{-102, -38, -101, -110, -123, -109, 116, 120"
values_701,25,"{-68, -35, -88, 126, -17, 0, -76, -108, -37, -105, -37, -66, 60, -83, 62, 51, 91, 90, -103, -8, 115, 16, 14, 6, 6"
values_855,14,"{106, -47, -98, 92, -83, 23, -110, -106, 14, 17, 87, -100, 32, -66"
values_320,8,"{-41, 5, 5, 72, -106, -46, -4, -35"
values_50,4,"{111, 24, 26, -50"
