inputName,size,a[size]
values_40,21,"{58, -3, 45, 88, 87, 51, 37, 20, 50, 77, -104, -25, -38, 125, 102, 19, 69, 108, -89, 7, -54"
values_970,20,"{33, -82, -70, 98, -23, -102, -8, -1, 23, 105, -115, -12, -44, -69, 105, -31, -84, 114, 38, 81"
values_707,28,"{38, -29, -60, -126, -10, 91, -16, -53, 32, 81, 41, -67, -67, 79, 3, 96, -68, -110, 16, 48, 85, -24, 77, -9, 97, -55, -11, -52"
values_406,28,"{-47, 11, -123, -78, 77, 13, 121, -109, -1, -85, -77, 39, -51, -41, 8, 34, -26, 107, -84, 77, 71, 45, -126, -56, 49, 57, 6, 27"
values_893,14,"{48, 41, 113, 11, -67, 8, -93, -64, 16, -68, 85, -11, -75, 10"
values_144,13,"{15, -7, -19, -31, -23, -124, 62, 20, 98, 112, -81, 99, -80"
values_979,19,"{88, 96, 10, 1, 75, -82, 58, 28, 81, 123, 122, -22, -71, 54, -14, 49, -56, 121, -18"
values_831,28,"{29, 119, -72, -63, -72, -61, 8, -10, -10, 91, -101, -35, -84, -20, -98, 50, -21, 14, 71, 66, -19, 44, 18, -39, -31, 70, 113, -39"
values_402,11,"{-11, -77, -66, 94, 46, 80, 89, -60, 114, 24, 107"
values_404,21,"{81, 74, 72, -83, -70, 116, 1, -121, -81, 12, -108, 83, 69, -122, -26, 47, -63, -97, 108, 75, 46"
values_310,10,"{14, 39, 120, -110, -77, 10, -50, -6, 68, 45"
values_70,17,"{76, 59, -42, -81, 68, -87, -98, 49, 69, 17, -12, -119, 6, -66, 124, 113, -81"
values_268,9,"{37, 97, 8, -90, 57, -83, 90, 23, 115"
values_412,17,"{-97, -77, 32, 94, -4, 122, -125, 30, -122, -22, 24, -125, 103, 24, 92, -70, -122"
values_290,8,"{12, -125, -103, -115, 70, 46, -83, 84"
values_916,6,"{123, 99, -45, -125, -28, -64"
values_567,14,"{98, 2, -67, 102, 24, -60, 12, 125, 104, 121, 85, 79, 20, -46"
values_913,13,"{-1, 120, 42, -40, -21, -17, 105, -3, -58, -76, 27, 72, 52"
values_232,28,"{94, -116, -67, 63, -90, 63, 64, -28, 119, -37, 6, 64, -53, 118, 31, 19, 101, -78, -56, 9, 58, 10, -28, -74, -21, -42, -81, -66"
values_319,27,"{118, -110, 118, 72, 88, 125, -115, -7, -103, -49, -4, 94, -93, -49, -108, -39, 110, -43, -63, 1, 90, -107, -44, -28, 65, 100, 75"
values_23,15,"{-82, -111, 114, -72, -11, -70, 21, 120, -38, 102, 92, 92, -78, 89, 90"
values_899,3,"{109, -28, 36"
values_428,7,"{-26, 126, 103, 53, -102, -66, -57"
values_858,15,"{35, 75, 23, -120, -97, 116, 70, -87, 28, 66, -54, 80, 38, 3, -10"
values_546,25,"{-119, 97, -59, -57, 116, -48, -78, -17, -8, 35, -74, -104, -100, -13, -61, 71, -117, -78, -51, -103, 15, -42, 23, 25, 16"
values_432,15,"{-59, 85, 94, -48, 119, -106, -43, 16, 30, 91, 123, 48, -101, 53, 72"
values_231,18,"{0, -110, -49, -74, -1, -46, -97, 73, 25, -8, 121, -35, -80, 79, 35, 57, 105, 12"
values_388,6,"{-85, 36, -78, 102, -9, 28"
values_350,26,"{-53, -52, -126, 116, -10, 26, 68, 46, 72, -50, 28, 49, -109, 41, 25, -15, -50, -7, 104, -120, 113, 3, -83, 22, 97, -70"
values_603,12,"{76, -44, 24, -54, 114, 63, -20, 39, 44, 25, 87, -88"
values_364,23,"{-98, 99, -11, 77, 121, -9, 45, 22, 52, -87, 77, -20, 13, -8, -73, -87, 30, 99, 92, -95, -82, 20, -80"
values_530,5,"{93, 30, 110, 44, -113"
values_72,4,"{-86, 76, -77, 33"
values_536,8,"{31, -73, -104, -34, 125, -15, 17, 103"
values_79,12,"{-13, 79, 102, -84, -107, -25, -88, 114, -7, 4, -93, 15"
values_342,6,"{59, -43, 96, -52, 84, 48"
values_803,13,"{34, -58, 126, -4, 117, -11, -34, -113, 77, 14, 37, -106, -42"
values_501,11,"{55, -82, 100, 69, 77, -40, 34, -99, -89, -84, 41"
values_540,25,"{-29, 86, 114, -44, -72, 89, 59, 23, -18, -55, -38, -93, 122, 24, 23, 82, -16, 31, 32, -114, -25, 14, 92, 67, -52"
values_955,7,"{-71, -102, 20, -47, -4, 34, 52"
values_191,16,"{-112, 29, 6, 97, -89, -123, 94, -103, 65, -4, 23, -79, -30, 50, 104, 34"
values_812,28,"{96, 112, -61, 113, -124, 40, 8, -25, -122, 90, -124, 104, -101, -58, 37, 48, -32, -6, -6, -119, 29, -109, 69, -33, -23, 55, -77, 37"
values_545,8,"{-83, -22, 105, -56, 42, 43, -6, 13"
values_78,10,"{5, 86, 64, 30, 88, 55, -94, -88, 58, -117"
values_526,16,"{64, 91, -33, 30, -28, -2, -24, 83, -112, 120, -60, -29, 8, 16, 31, 16"
values_695,9,"{-40, 115, 12, -36, 121, -81, -8, -22, 69"
values_87,9,"{42, 30, 84, 16, -53, 54, -62, 111, 101"
values_300,16,"{86, 86, -98, 90, -52, 50, -72, -55, 14, 71, 9, -57, 15, -99, 38, 27"
values_964,23,"{-105, 72, 38, -22, 57, 0, -41, -18, -32, -123, 31, 59, 62, 61, -122, -30, 95, -117, 61, 54, -125, -107, 115"
values_998,24,"{123, -101, 41, -27, -117, 74, -46, 66, 27, -56, -104, 97, -61, -21, -94, -49, 9, 116, -52, -64, 46, 61, -56, 24"
values_988,19,"{-52, -107, 12, -112, -26, 90, 41, 23, 17, -27, 88, 27, 83, -29, -27, -85, 122, -25, 66"
values_6,21,"{-98, -75, 95, 73, 114, -97, -12, -46, -47, 25, -81, -106, 91, -83, 119, -115, 125, 99, 44, -98, -56"
values_625,22,"{5, 111, -78, 14, 10, -116, 76, -122, 16, -100, -10, -95, -65, 42, -79, -99, -22, -58, 42, 119, -77, 104"
values_518,13,"{91, 69, -63, 24, 55, 29, -49, -77, 117, -4, -123, -116, 118"
values_122,17,"{-71, -57, -65, -93, 117, 126, 79, 12, -108, 81, -115, -15, 125, 82, 59, -76, 73"
values_541,14,"{119, 98, 104, -44, 45, 90, -44, 84, -18, 113, 113, -64, 108, -109"
values_279,26,"{23, -1, -43, -112, 74, -9, 34, 9, -70, 76, -51, 24, -82, -32, 59, 4, -66, -53, -119, 51, -96, 88, 101, -120, 90, 90"
values_256,21,"{-48, 106, -76, -107, 95, -49, -3, 88, 30, -36, 11, 80, -91, -102, -100, 49, 95, 7, 39, 31, -68"
values_796,19,"{-48, -70, -34, 0, -114, 72, -14, -13, 71, -61, 74, -46, 95, -113, -77, -68, -13, -81, -102"
values_504,26,"{37, -36, 41, 60, -33, 6, 99, 109, 70, 114, -107, 44, 105, 74, 41, -41, 72, -42, 118, 68, -31, 42, 101, 69, -6, 115"
values_752,23,"{19, -24, -41, -23, -3, -96, -49, -34, 30, -59, 75, -12, 27, 77, 56, 28, -34, -23, -21, -7, -59, 92, -29"
values_459,9,"{36, -8, -113, 82, -79, -75, 87, -70, 94"
values_658,9,"{71, -87, 123, 117, 54, 124, 103, -99, 52"
values_408,20,"{-66, 120, 48, -66, -115, -11, 79, 71, 86, -73, -49, -104, 3, 95, -13, -105, -57, -121, -85, 79"
values_867,7,"{20, -7, -72, -111, -46, -53, 75"
values_727,28,"{-4, -13, 101, 116, -14, 65, 6, -120, -36, 118, 86, 26, -64, -5, -118, -89, 117, 24, 125, 117, -18, 49, -9, 57, 38, -34, -60, 26"
values_177,11,"{-45, 106, -43, 82, 22, -112, -28, 34, -115, -14, 79"
values_823,13,"{-123, 75, 105, -78, -30, 23, 33, 5, 40, 45, 0, 1, -99"
values_822,8,"{124, -122, 103, -86, -11, -13, 77, -18"
values_218,20,"{51, 59, 23, 7, -119, 46, -69, 64, 107, 10, -86, 119, -108, 68, -31, 81, 37, 89, -116, -52"
values_426,16,"{13, -52, -101, 72, -58, 50, 81, 117, -73, 86, 110, -108, -4, 96, 126, -70"
values_776,18,"{6, -23, -100, -40, -104, 107, -81, -99, -101, -57, 23, -46, -61, 75, -71, -117, 104, -80"
values_143,11,"{-6, 98, -79, -114, 35, -96, -22, 53, 1, 60, -113"
values_739,2,"{-52, -116"
values_312,9,"{-11, -111, 121, -124, -97, -86, 92, 12, 67"
values_174,20,"{104, 1, 46, -68, 13, -45, -95, 4, 41, -60, -15, -47, -1, 57, 55, 92, 17, 42, -106, -109"
values_669,20,"{-16, -27, -77, -10, -91, 13, -106, -91, -50, -10, 96, 79, 78, 16, -56, 47, 53, 94, 62, -113"
values_120,3,"{-11, 87, -65"
values_974,14,"{84, -91, 27, 85, 25, 12, 25, -116, 84, 61, -73, 9, -89, -49"
values_217,15,"{-94, -84, -38, -58, 18, -70, 86, 124, 79, -50, 57, 52, -37, -85, -88"
values_866,4,"{-84, 60, -80, 64"
values_192,13,"{60, 73, -28, -70, -10, 123, 114, 99, -44, -100, 47, -64, -18"
values_328,12,"{15, -86, -9, 92, -12, 25, 48, -115, -10, 22, 112, 89"
values_68,7,"{-99, 37, -68, -63, 22, 9, 37"
values_387,8,"{-75, -44, -102, -88, 47, 61, 9, -13"
values_69,20,"{17, 83, 25, 100, -120, -1, -106, 116, 46, -13, -8, 30, 46, 112, 105, 2, 97, -111, 97, 34"
values_749,17,"{-48, 55, -15, 2, -77, -39, -38, 68, 45, -102, 13, 120, -54, -3, -109, -123, 69"
values_135,13,"{90, 63, 15, -126, 54, 93, -98, 39, -33, -40, -63, 34, -1"
values_341,11,"{55, 77, -58, 118, -54, -32, -74, -126, -32, 15, -70"
values_494,7,"{-80, -96, -114, -38, 105, 68, -53"
values_1,28,"{-70, 50, -79, -100, 31, 23, -55, -101, 23, 51, 66, 78, -6, -16, -120, -93, 66, 17, 61, 61, 7, -110, 34, 10, 32, 88, -46, -111"
values_589,8,"{-73, 99, -61, 6, -32, 14, -107, 55"
values_925,19,"{88, -90, 17, 115, 43, -95, 121, 33, -35, -27, 100, 42, 68, -71, 97, 23, 7, -61, 38"
values_524,13,"{23, 123, -59, 21, 55, 110, -110, 14, 32, -26, 6, 27, 89"
values_994,22,"{29, -69, -6, 10, 56, -14, -124, 49, -119, 93, 115, 93, 88, 47, -40, 105, 43, 115, -51, 122, 76, 45"
values_856,15,"{103, -24, -12, 55, -81, 113, -123, 4, 98, -126, 3, 22, 22, 106, 94"
values_156,15,"{27, 54, -119, -104, 86, -85, -126, -49, -60, 58, -58, -29, -106, -15, 36"
values_470,19,"{83, -118, -34, 110, -42, 23, 88, -31, 71, 22, -39, -38, 104, -100, -69, -118, 3, 17, -22"
values_207,20,"{91, 0, 92, 39, 120, 58, 25, -91, 73, -97, 79, 31, -14, 55, -111, 5, -28, 118, 29, 42"
values_655,10,"{126, -93, -52, 5, 17, -34, 50, 41, 112, 95"
values_441,27,"{-91, -12, -52, 71, -60, 6, 64, 11, -40, -99, -3, 27, 50, -4, -29, 111, -117, -16, -92, -96, 27, 109, 27, -88, 36, 8, 44"
values_109,27,"{-63, 51, 50, -112, -121, 97, -69, 122, 32, 125, -95, -3, 77, 61, 81, -20, 77, -64, -59, 23, 79, -49, -50, 48, 13, -60, 69"
values_45,15,"{120, 102, -126, 36, -93, 34, -109, 113, 72, -73, -83, 120, 39, -4, -103"
values_125,24,"{-56, 119, -59, 82, -41, -78, 94, -36, -36, 69, 34, -99, -93, 25, -63, 29, -104, -42, -74, 20, 19, 64, -122, 58"
values_600,21,"{73, -38, -120, -98, -111, -21, -109, -54, -54, -59, -48, -21, -122, 100, -79, -10, 31, 55, 56, 107, -126"
values_708,18,"{-109, -98, 73, -12, 43, -79, 55, 45, 69, -126, -113, -75, 20, -115, 48, -98, 81, -88"
values_791,4,"{96, -89, -94, 115"
values_912,3,"{-42, -48, 65"
values_533,9,"{-33, 32, -76, 49, -60, 55, 106, 97, 70"
values_418,24,"{84, 29, -84, 48, -101, -16, -59, 7, -61, -76, -90, 72, -49, 71, 73, -28, 54, -41, 15, -22, 15, -11, 14, -118"
values_228,6,"{52, 86, -11, -21, 45, 44"
values_585,7,"{-60, 55, -37, 106, 73, -124, 70"
values_465,6,"{49, 23, 55, 5, 111, 6"
values_239,21,"{-63, -121, 41, 115, 114, 19, -45, 26, 75, -74, 81, -79, 57, -124, -30, 55, -44, -119, -34, -81, -125"
values_842,10,"{3, 84, 46, 33, 98, 38, -106, 93, 103, 109"
values_208,8,"{-106, -61, 81, 105, 19, 124, 91, -75"
values_932,12,"{-23, 49, -111, 79, 61, -11, 34, 79, -45, -4, -76, -52"
values_957,10,"{-73, -68, -38, -94, 65, 84, -98, 26, -90, 106"
values_563,26,"{-57, 65, 14, 52, 75, 49, -101, 53, -71, -21, 57, 82, 78, -34, -73, -44, -48, 98, 96, -89, 21, 34, -93, 21, 54, -119"
values_766,11,"{116, 66, -19, -54, 49, 1, -78, -125, -15, -37, 107"
values_476,6,"{-54, 113, 7, 17, -68, -81"
values_175,3,"{-53, -33, -83"
values_591,16,"{30, 74, -17, 111, -45, -18, 31, 1, 51, -29, -121, -68, -116, 104, -40, -12"
values_997,11,"{122, 98, -104, -18, 78, -65, 57, 27, 3, 96, 33"
values_385,12,"{53, 5, 29, 18, 28, 27, -110, 124, 72, 118, -90, -8"
values_115,10,"{-47, 4, -105, -86, -68, 120, -44, -27, 56, -124"
values_653,18,"{42, -54, -98, 89, 77, 119, 98, -83, -70, -38, -34, 114, 78, -43, 79, -76, 119, -5"
values_753,13,"{-96, -122, -23, -74, -76, 21, -5, -84, 90, -124, -111, 116, -40"
values_241,16,"{-30, 6, 23, 68, 47, -93, 76, -65, 6, 18, -100, 121, -66, -5, -1, -36"
values_197,19,"{-35, -50, 56, -25, -22, -31, 36, 78, 91, 37, -50, -123, -77, -7, -89, 35, -53, -92, -37"
values_636,21,"{25, -56, -116, 2, -120, -37, -115, 113, 14, -55, -96, -80, 84, -102, 64, 70, 41, -10, 14, -14, 101"
values_450,26,"{9, -46, -5, 98, 85, 75, -97, 24, 33, 40, 123, -69, -4, -75, 100, -85, -44, -77, -112, -7, -6, -50, 40, -50, 109, -71"
values_106,24,"{123, 102, 99, 42, 11, 53, 81, -35, 101, 105, -125, 91, -43, 91, -35, -85, 103, -94, -76, 115, 106, 98, -93, -55"
values_699,12,"{-30, -75, 54, -40, -7, -35, 58, 85, -44, 31, -22, -37"
values_578,4,"{101, 51, 46, 78"
values_644,5,"{-30, -52, 45, 10, 10"
values_570,16,"{-71, 3, 13, -27, 89, 4, -18, -95, 97, 118, 87, 54, 106, 24, -43, 71"
values_873,10,"{110, -24, -8, -6, -118, -102, 117, -71, 100, 92"
values_33,2,"{30, -118"
values_210,22,"{118, -73, -12, 57, -100, -114, 121, -106, -66, 104, -74, -17, 20, 1, -120, 23, 65, 97, -109, -5, -55, 68"
values_486,26,"{-73, 100, 27, 18, -94, -62, 92, -35, -120, -32, -22, 18, -103, 57, 20, 124, 13, -22, -73, -50, -59, -119, -48, -123, 111, 78"
values_252,18,"{-72, -101, -28, -57, -49, 63, -48, -83, -47, 59, -75, 7, -9, -105, 59, 55, -55, 46"
values_694,13,"{-50, 25, -88, -107, 69, 24, 30, -64, 46, 7, 20, 105, 97"
values_759,9,"{118, -89, -64, -92, 68, -4, -55, -121, 38"
values_245,21,"{120, -119, 90, 41, -41, -38, 86, 99, 4, 120, 83, -15, -46, 24, 3, 82, 51, 100, -101, -69, -53"
values_15,22,"{-115, -104, 19, -97, 118, 77, -73, 66, 89, -72, 24, 37, -95, 111, -83, 50, 88, -76, 55, 7, -64, 22"
values_792,26,"{-55, -103, 27, 0, 0, 2, -35, -84, -17, -96, 81, -107, 18, -36, 91, 9, 113, 15, -28, 81, 54, 13, 27, 49, 97, -105"
values_248,10,"{71, -8, 61, -60, 99, 37, -71, -78, -93, 124"
values_246,10,"{-108, -72, 22, -106, 15, -91, -51, 73, -34, 40"
values_556,4,"{-14, 76, -101, 40"
values_513,21,"{35, 89, 18, -37, 31, -49, -46, 112, 57, 5, -103, 37, 113, -77, 72, 115, -126, -48, 94, -49, -120"
values_93,19,"{60, 88, 9, 95, -45, 120, 8, 124, -98, -80, 29, 125, -12, -93, -85, 81, -126, 28, -47"
values_558,25,"{5, -60, -37, -21, -76, 20, 102, 51, 94, -9, -20, 52, 75, -31, 22, -69, -56, -11, 122, -57, -7, -69, -14, -108, -86"
values_991,22,"{123, -34, -49, 1, -2, 67, -46, -10, -100, -6, 8, -101, 46, -44, -25, 36, 70, -96, 44, -60, -78, 7"
values_181,14,"{-74, 7, -27, -117, 108, -103, 43, -60, -87, 11, -15, -86, -18, -45"
values_674,18,"{114, -111, 74, 69, 103, 52, -85, 32, -24, 49, 47, -118, 25, -34, 42, 105, 86, 38"
values_652,12,"{65, -96, 115, 70, -16, 44, 117, -71, -17, 89, 84, 67"
values_344,13,"{-67, 123, 123, -17, -112, -98, 96, -43, -81, -37, -118, 48, 20"
values_715,25,"{-95, -37, 89, -1, 62, -125, -100, 29, 39, -4, 7, 87, -81, -54, 34, 16, -29, -112, -123, 0, 105, -90, 51, 53, 107"
values_528,10,"{-120, -112, 15, 88, -42, 10, 34, -107, 84, -13"
values_276,18,"{97, -33, -117, 26, 2, -93, 11, 3, 19, -103, 108, 33, 108, -122, -29, 13, 81, -4"
values_24,3,"{108, 26, -15"
values_296,16,"{-104, 51, -95, -122, -100, 54, -21, -51, -117, 122, 74, 79, -53, 4, -76, 55"
values_244,18,"{1, 120, -71, -68, 29, -71, 102, 116, -92, -97, -96, -88, -12, -115, -71, 53, 94, -85"
values_380,24,"{-126, 116, -28, -32, -25, 56, -11, -110, -30, 104, 57, -125, -50, -98, -90, 87, 28, -89, 18, -1, 117, -84, -30, 103"
values_25,10,"{-47, -102, 21, -105, -13, 14, -30, -19, 31, -81"
values_740,28,"{114, 52, 117, -120, -64, -33, 50, 106, -122, -91, 80, -79, -38, -118, 126, 121, -10, -19, -4, 113, -35, 92, 51, 113, 50, 107, 25, 68"
values_478,17,"{41, 23, 42, -57, 106, 67, -125, -82, 126, -77, -102, -71, -100, -3, 120, -3, -56"
values_379,22,"{93, 38, -119, 60, 68, 15, -48, -124, -37, -5, 40, -50, 4, -92, -108, 66, 66, 90, -63, 95, -66, 57"
values_810,8,"{122, 72, 122, -8, -59, -90, -96, -101"
values_440,26,"{58, 56, 101, 93, 27, -27, -27, 94, 1, -103, -40, 43, 22, -88, 46, -117, 56, -86, -123, -108, 57, 104, 29, -39, 72, 62"
values_543,3,"{-13, 33, -113"
values_130,24,"{116, 85, -98, -25, -35, -97, 86, -72, -107, 116, -94, -17, 83, 90, 14, -95, 22, 54, -24, 18, -51, -95, -86, -120"
values_225,19,"{2, -125, 71, -51, 108, 87, 91, 77, 38, 102, -37, -50, -57, 16, -79, 113, 9, 40, -32"
values_285,7,"{-73, 6, 124, -35, 61, 4, 78"
values_363,8,"{-11, -122, -37, -91, 97, 23, -10, -26"
values_667,12,"{-5, 18, -90, -108, -103, -3, -52, 32, 55, -62, 106, -17"
values_26,14,"{27, 80, 7, 68, 111, 79, 23, -118, -23, 49, -23, -21, 116, -100"
values_793,7,"{6, -112, -100, -4, -6, -67, 36"
values_772,19,"{-82, -26, 75, -13, -116, 32, 77, -100, -115, -28, 110, -36, 79, -104, -108, -56, 123, -34, 61"
values_931,28,"{-84, -67, -52, -69, 41, 29, 118, -10, -48, -68, 89, -79, 46, -49, 54, 30, -90, -35, 57, -36, 88, -101, 70, -27, 76, 71, 17, 35"
values_981,21,"{-55, 38, -40, 6, -10, 110, -3, 88, 46, -44, -13, 30, 30, -90, 62, -108, -39, 28, -107, -63, -9"
values_422,24,"{84, -40, 99, 49, -62, 0, 31, 53, 76, 22, -92, -100, 57, -95, -95, 106, 60, 80, 88, 40, 102, 52, -48, -110"
values_920,3,"{-25, 22, -33"
values_259,2,"{-82, 35"
values_477,19,"{40, 28, 17, 61, 114, 85, -6, -63, -22, 7, -55, 2, 50, -90, -101, 49, -5, -54, 59"
values_738,17,"{-10, 121, -35, 91, -83, 42, -17, -33, -56, 18, 6, -120, -55, -68, 15, 22, -7"
values_430,4,"{47, -44, 106, 18"
values_922,13,"{-30, -72, -75, -69, 80, 16, 58, -45, 39, 20, 124, -13, 61"
values_903,7,"{-106, -68, 122, 57, -75, -4, -57"
values_761,3,"{-27, -57, -15"
values_204,25,"{-62, -122, -91, -98, -62, 3, -75, -115, -61, 117, 5, 17, -24, -47, 77, -53, 89, 0, 7, 42, -46, -38, 83, 73, 25"
values_48,2,"{17, -44"
values_71,4,"{88, 53, 38, -106"
values_851,16,"{-7, -20, 108, -3, -8, 76, 38, 8, -52, -38, 122, -2, 73, 80, -86, 80"
values_347,6,"{-26, -8, 37, -22, -23, -80"
values_725,14,"{-78, 123, 71, -73, 0, -20, 66, 120, -11, 16, -51, -22, 49, 28"
values_266,7,"{90, -99, -106, -2, -36, 114, -61"
values_448,10,"{-97, 2, 16, -74, -3, -125, -20, -1, -31, 65"
values_934,8,"{85, -94, -54, -66, 95, 110, -71, 21"
values_531,9,"{75, -54, -64, -62, -108, 92, -5, 52, -36"
values_224,28,"{42, -46, 55, 27, -95, -70, -17, 63, -38, 4, 88, -68, 89, -11, 90, -33, -52, -71, 66, 45, 39, 35, 34, 9, 113, -77, 111, -40"
values_686,13,"{60, -71, 65, 67, -50, 24, 3, -31, 14, -108, 71, -87, 47"
values_927,27,"{-43, -33, -5, -10, 9, -37, 109, 7, 54, -117, -11, -33, -40, 36, -98, -60, -126, 81, -8, 36, 3, 11, 17, -56, -87, -17, -2"
values_407,22,"{-99, 39, -8, -111, -123, 9, 53, 68, 126, 24, 83, 84, -110, -24, -22, -2, 12, 29, 58, -42, -58, 106"
values_76,9,"{68, 61, 33, -65, 11, 63, -104, -98, 17"
values_949,3,"{-13, 38, 18"
values_969,20,"{-55, -22, -63, -76, 32, 1, -51, -34, -99, -15, 21, -97, -13, -71, 61, -4, 21, -105, -109, -13"
values_781,15,"{-38, 78, -44, 48, -81, 32, -85, -78, 32, -68, 121, -3, -73, 72, 106"
values_7,11,"{3, -97, -2, -109, -88, -65, 111, 76, 74, -52, -41"
values_683,18,"{72, 0, 54, 123, -57, -126, 19, 93, 52, 66, -7, -97, 24, 0, -59, 50, 90, -6"
values_376,20,"{96, -85, -124, 122, -124, -21, -25, 69, -6, 110, 105, 48, -92, 79, -17, 6, -92, 68, -88, -84"
values_877,11,"{18, 16, 54, -89, -7, 6, -43, -61, 66, -115, 6"
values_654,15,"{52, -52, 119, 52, 70, -58, -76, -72, -117, 44, -33, -95, -3, -117, -26"
values_508,18,"{-79, -4, 29, 83, -89, -49, -15, -8, 74, 108, -93, 80, -7, 18, 114, 49, -30, -53"
values_332,17,"{-17, 69, -54, -120, -9, -50, -74, -120, -106, -28, 16, 37, -83, -87, 78, 53, -9"
values_281,19,"{-86, -90, -92, -28, 109, 63, 106, -121, 31, 76, 1, 80, -62, 104, -105, 81, 1, 115, -14"
values_381,10,"{-24, -57, 89, 111, 60, -78, -35, 63, -23, -51"
values_769,10,"{47, 15, 50, -57, -61, 90, 31, 76, 8, 69"
