inputName,n,arr[n]
values_776,25,"{-21, -32, -122, -121, -75, -67, -107, -38, -8, 57, -108, 26, 120, -48, 60, 11, 89, -61, 60, 111, -118, -3, -67, 9, -59"
values_143,2,"{-53, 52"
values_739,19,"{87, -8, 120, -46, 29, 114, 62, 8, -92, -47, -127, 17, 11, -66, 105, 48, 71, -35, -55"
values_312,13,"{-33, -89, -21, -90, -113, -45, -45, 7, 18, -95, 100, 56, 58"
values_174,8,"{-83, 60, 50, -107, -58, 103, -113, 9"
values_669,15,"{69, 22, -5, 63, 17, -41, -23, -66, 71, 32, 126, 61, -27, 82, 26"
values_120,5,"{-86, -47, 88, -65, 50"
values_974,7,"{20, -126, -11, 102, 98, -62, -88"
values_217,13,"{-61, -62, -124, -27, -93, -114, 51, 105, 51, 15, -23, -85, -22"
values_866,4,"{-17, -121, -47, -36"
values_192,17,"{-91, -48, -24, 3, 52, 61, -97, 56, 43, 8, -72, -73, 69, 94, 39, -114, -12"
values_328,3,"{-19, -105, 104"
values_68,23,"{-81, 99, 61, 16, -86, 12, -112, 64, -110, 110, -33, -51, -85, -78, -16, 112, 64, -89, 0, 5, 95, -127, -94"
values_387,16,"{-88, -44, -58, -28, -121, 103, 99, -122, 110, -54, -100, 105, 110, 35, 7, 113"
values_69,15,"{87, 87, -104, -59, 91, 74, 46, -77, 3, -37, -41, -72, -113, 69, 122"
values_749,13,"{-65, -18, -67, -19, -111, 78, 43, 127, 49, 50, -99, 53, -32"
values_135,23,"{-82, 121, 2, 33, 49, -37, 107, 123, -121, -108, 52, 13, 52, -14, -57, 39, -26, -50, 27, 1, -101, 40, 89"
values_341,2,"{76, 33"
values_494,12,"{-103, 57, 29, -17, -29, -40, 59, -28, 99, 21, -117, -121"
values_1,22,"{31, 88, -89, 33, -111, -31, -99, -36, -40, 80, 109, 63, 6, -60, 7, -5, 65, -67, -112, -2, -100, -20"
values_589,16,"{-40, -69, -50, 117, 27, 59, 104, -83, 41, -40, -101, -45, 118, 85, -76, -111"
values_925,22,"{-117, -19, -114, -36, 54, -28, -63, 70, 27, 66, 42, -103, 94, -111, 42, 0, 56, -93, 62, -72, -26, -86"
values_524,18,"{63, 84, 70, 95, 40, -92, -7, 53, 39, 0, -103, 104, 55, -102, 35, -90, -42, 41"
values_994,18,"{93, -9, -92, 58, 14, -45, 61, 1, 30, -18, -28, -93, -63, 80, 91, 37, 115, -53"
values_856,15,"{22, 22, 22, 56, 111, -92, 26, -22, 45, 37, 122, -24, -73, 90, 99"
values_156,26,"{127, -109, 64, 52, -75, -67, -50, -107, -37, 111, 31, 77, 68, 126, -101, 104, -3, 105, -29, 34, -64, -39, 8, 81, 67, 70"
values_470,24,"{-114, -9, 16, -102, 54, 22, 115, -57, -4, -42, 125, -55, -120, 42, -84, 36, -103, -18, -92, -99, 126, -10, -112, -123"
values_207,7,"{96, 102, -99, 85, 11, -97, 50"
values_655,25,"{103, 20, -45, 94, -81, -21, -2, -33, 42, -28, 38, 59, -43, -123, 91, 124, 44, 9, 110, 3, 20, -95, 121, 1, -79"
values_441,25,"{69, -56, -8, 108, -26, -64, -99, -20, -121, -67, 48, -65, 88, 46, 36, 81, 66, -80, -76, -105, -71, -27, 36, -71, 61"
values_109,23,"{-121, -72, 58, -52, 6, -30, 95, -62, -76, -55, -64, -27, 39, -9, -63, 76, -18, -37, 36, 55, -78, 81, -111"
values_45,26,"{-71, 94, -72, 0, 40, 10, -66, 23, 35, 12, -110, -51, -85, 29, 3, 42, -78, -52, 53, 104, 43, 103, 5, -124, 99, -92"
values_125,21,"{-109, 45, 66, 118, 125, -60, 109, -92, 38, -93, 88, -29, -93, 87, -59, -11, -36, 124, 122, -58, -122"
values_600,25,"{-59, -97, -35, 10, -104, -100, -59, -124, 90, -14, -26, 20, -70, -56, 89, 124, -89, 27, 106, 39, -37, -89, 31, -42, -36"
values_708,28,"{-5, -61, 13, -94, 73, 12, 55, 60, -47, -102, -61, 73, 54, -126, 79, 27, -77, 32, 13, -22, -117, -63, -35, -39, -48, 64, 11, -7"
values_791,8,"{61, 72, 48, 73, 42, -54, -107, 2"
values_912,24,"{-45, 122, 57, -31, 122, -78, -13, 105, -102, 54, 54, -75, -67, -28, -124, -104, 104, -3, 70, 54, -26, -7, 99, -45"
values_533,24,"{92, -126, 19, 61, -56, 62, -35, -24, -110, 100, -16, -76, 90, -11, -47, 59, -88, -100, -58, 104, 84, -71, 19, 122"
values_418,17,"{-26, 102, -95, 3, 83, 107, -10, -15, 28, 66, 26, 9, -52, -7, 37, 102, 14"
values_228,28,"{-110, -118, -96, -89, -127, 7, -30, 55, 101, -24, 63, 59, 52, 102, 55, -116, 39, -74, -113, -22, -21, 114, -116, 2, 17, 115, -23, -108"
values_585,22,"{71, -18, -112, 79, 92, -34, 127, -43, 100, -76, -30, 8, 61, 115, -117, 60, 12, -28, 86, 39, 31, -61"
values_465,12,"{59, -114, -32, -63, 48, 44, 9, 75, 15, 33, 43, -117"
values_239,9,"{-73, 13, -65, 121, 23, 18, 109, 84, 91"
values_842,12,"{80, -12, -3, 34, 70, -102, -100, -99, -63, -4, -35, -56"
values_208,22,"{-119, 63, 106, 38, 32, -13, -125, -121, 93, -48, -109, -88, -12, -125, 107, -102, -123, 97, -9, -61, 82, -74"
values_932,22,"{65, -6, -77, 121, 60, -127, -101, -90, 126, -42, -52, 88, -94, 73, 73, 89, 20, -8, 38, -12, -109, 28"
values_957,15,"{123, 38, 59, -54, 85, 109, 117, 21, 33, 113, 41, 91, 19, 75, -2"
values_563,12,"{-30, 10, 12, 113, -94, -26, -47, -46, -97, -56, 67, 2"
values_766,19,"{83, -125, -10, 88, -88, -73, 76, 111, -46, -78, 31, 105, 28, -25, 35, 24, 81, 53, -106"
values_476,2,"{-49, 11"
values_175,12,"{17, -86, -122, 123, 74, -35, -4, -71, 102, -84, 85, -123"
values_591,23,"{-107, -46, 116, -14, -29, -121, 100, 21, 90, 43, 0, -16, -37, 76, 117, 60, 77, 85, 80, -17, 80, -1, 51"
values_997,27,"{0, 48, 90, -98, -66, 114, 84, -35, -113, 98, -3, -5, -121, 51, -36, -105, -95, 95, 21, -11, -72, -112, -103, 64, -10, -19, -62"
values_385,28,"{-98, -62, 2, 3, -123, 52, 98, 77, 122, 123, -40, 115, 0, -84, -34, 35, 29, 97, 92, -65, -36, -18, 3, 23, -100, -59, 107, 107"
values_115,4,"{-55, 77, -14, 21"
values_653,4,"{62, -76, -28, 46"
values_753,28,"{-93, -122, -63, 6, -27, -109, -91, -127, 120, 39, 33, -5, 111, 55, 41, -81, 119, -13, -63, 88, 115, 110, -18, -61, 6, -87, -125, 13"
values_241,21,"{-80, 76, 78, 4, -106, -8, 45, -31, -112, -99, -31, -64, -9, 123, -118, -63, -32, 32, -13, 46, 52"
values_197,4,"{-4, 94, -102, 96"
values_636,28,"{116, -24, 103, -59, 112, -59, 81, 0, 116, -65, -72, 33, 28, 120, 5, -20, 95, 86, 111, 61, -48, 85, -46, 114, 109, -57, 109, 30"
values_450,18,"{105, -126, 122, -108, 10, -100, 43, -66, 111, 44, -125, 59, 44, 45, -28, -1, 70, 119"
values_106,23,"{-93, 87, -31, 71, 9, 51, -101, 86, -76, 4, -33, 108, -22, -106, 107, 119, 102, 92, -62, -92, 91, 108, 11"
values_699,19,"{90, 13, -88, 54, 39, 71, 45, 63, -114, 94, 116, -64, 81, 116, -99, -111, -114, -80, -115"
values_578,6,"{-38, -28, 78, 110, 65, 23"
values_644,24,"{-11, -88, 125, -85, -103, 58, -115, 81, 91, -61, -13, 87, -99, -95, 120, 81, 79, 25, 94, 70, -95, 100, 108, 98"
values_570,7,"{89, 100, -37, -90, 57, -115, 13"
values_873,10,"{41, -65, 80, 109, -119, -83, 116, -127, 62, -81"
values_33,12,"{114, -52, 107, -82, 108, 28, 77, -19, 71, -8, -99, -9"
values_210,18,"{12, -31, 68, 8, 121, 40, -35, -38, -15, -8, -48, -122, -20, -113, 57, 32, 1, -77"
values_486,5,"{50, 72, 73, -77, 9"
values_252,24,"{99, -19, -100, -25, 80, -19, -48, -40, -110, -113, 41, 77, -49, -120, -125, -39, -15, -31, -90, 123, 124, -109, -39, 52"
values_694,19,"{120, 21, 34, 126, -52, 115, -80, 85, 108, 25, 44, 105, -53, 60, -97, 68, -57, 80, 39"
values_759,2,"{70, -37"
values_245,3,"{36, 8, -86"
values_15,10,"{-80, -120, -7, -95, 27, -122, 9, -39, 12, -1"
values_792,25,"{-14, -71, -16, -82, 98, -83, -100, -46, -92, 70, 113, 77, -89, 1, -9, 74, -118, -16, 63, 105, -83, 119, -95, -77, 115"
values_248,5,"{-72, 9, -11, -83, -115"
values_246,18,"{-66, 61, -38, 53, 66, 60, -14, 117, 104, -46, 5, 86, -24, -33, 7, 50, 64, 84"
values_556,15,"{88, 22, -44, -58, -110, -26, 4, -39, 28, -73, -1, -2, -83, 8, -57"
values_513,19,"{118, -82, -13, -43, -105, -26, -65, 82, -25, -14, -11, -97, -104, -11, 48, 32, -67, 32, -107"
values_93,14,"{-38, -114, -121, -104, -45, -12, -50, -60, -112, -109, 14, -48, 31, -110"
values_558,11,"{95, 126, -86, 74, -111, -3, -114, -77, -82, -51, -63"
values_991,11,"{-96, 56, -4, 30, 45, -74, -37, 99, 108, 14, -62"
values_181,15,"{-118, 57, -126, 9, 115, 46, 119, -70, 91, -104, -120, -4, 26, -43, 41"
values_674,12,"{119, -5, -60, -124, -118, -15, -77, -105, -85, -95, 74, -17"
values_652,22,"{124, -39, 1, 118, 101, -12, 76, -85, 114, 115, -24, 35, -38, 27, -3, 101, 95, -93, 29, 111, 123, -86"
values_344,19,"{89, -95, -126, 127, -85, 35, 94, -73, 114, -102, -113, -9, -89, 112, -34, 62, -109, -23, 116"
values_715,10,"{80, -53, 96, 74, -32, 90, 78, 71, 45, 0"
values_528,15,"{-91, -66, -48, 19, 16, -90, -39, 109, -98, 41, 106, 125, -73, 58, -63"
values_276,28,"{4, 95, 66, 8, 10, -85, 69, -89, 79, 61, 94, 14, -3, 4, 58, 9, -116, -20, 42, -76, -62, 8, -113, 95, 3, 117, 119, 48"
values_24,15,"{-44, -67, 125, 61, -68, 35, -112, 56, 99, 84, -115, -14, 13, 27, 28"
values_296,9,"{-49, -5, -26, -5, 118, 33, -85, 55, 9"
values_244,16,"{-39, 77, 91, -19, -47, 108, -77, 12, 117, -74, 9, -54, 125, 6, 59, -82"
values_380,2,"{-106, -77"
values_25,21,"{-15, 17, -30, -51, 127, 110, 22, -96, -9, -24, 18, 80, 76, 27, 36, -57, -97, 122, -76, 42, -66"
values_740,23,"{-77, 92, 88, -35, 54, -36, 58, -73, 46, -23, -113, 65, -72, 122, 84, 27, 74, -1, -109, 10, 10, -14, -119"
values_478,12,"{-46, -93, 127, -67, 78, -17, -4, -86, -73, -77, -27, 38"
values_379,15,"{32, -114, 60, 108, -98, -114, 37, 122, 75, -46, 85, -116, -81, 26, -106"
values_810,12,"{-78, -87, -119, 87, 71, 109, 83, -22, -101, -118, -90, 1"
values_440,10,"{-68, 92, 103, -76, 83, 16, -10, 15, 105, 32"
values_543,9,"{118, -66, -119, 74, 95, 96, -107, 121, 73"
values_130,7,"{102, 76, -75, 113, -30, -86, -123"
values_225,21,"{58, -20, 4, 63, 70, -68, 88, 104, -26, 115, 35, 78, -104, -72, -43, 3, -2, -23, -18, -77, 38"
values_285,13,"{16, -105, 113, -107, -67, -123, 107, -58, -117, 87, -34, 122, 102"
values_363,23,"{-107, 3, -115, -20, -78, 70, -112, -94, 117, -90, -107, 7, -121, -100, 32, 78, -95, -47, 86, 81, -122, -52, -61"
values_667,28,"{40, -86, 74, -8, -38, -95, -7, 72, 66, -68, -20, -98, -86, -93, -41, -118, 5, 98, 79, 8, 107, -10, -43, -27, -108, -116, -79, 18"
values_26,21,"{-18, -18, -79, 122, 67, -90, 43, 69, -106, -97, 64, -34, -25, 30, -44, 23, -5, -103, -97, -57, 107"
values_793,3,"{47, 63, -72"
values_772,12,"{-110, -112, -4, -93, -10, -84, -93, 7, 5, -6, -68, 28"
values_931,9,"{75, -62, 61, 92, 106, -50, 30, -37, 36"
values_981,16,"{47, -22, 3, 46, -34, -32, 35, 27, -65, -85, -60, 90, 112, 5, 2, 7"
values_422,2,"{-68, -127"
values_920,4,"{16, 70, -67, -19"
values_259,7,"{-21, 34, -91, -51, 90, 100, -13"
values_477,16,"{124, -36, -107, 90, -18, -105, -127, -2, 31, 109, -104, 24, 93, 81, 87, 28"
values_738,26,"{-110, 97, 17, -40, 10, 121, -66, -53, 70, 24, -73, -105, 5, 17, 27, 38, -55, 126, -18, -71, 30, 115, -60, -90, -112, -101"
values_430,19,"{110, 44, -104, -64, -50, 2, 101, -119, 123, 9, 32, 96, 85, -49, -89, -24, 42, -36, 33"
values_922,11,"{-26, 49, -110, 55, -53, -29, -19, 124, -125, 10, 14"
values_903,22,"{121, 39, 83, -67, 56, 70, -101, -82, 76, -41, -23, -1, 79, 26, -21, 20, -82, 5, 41, -32, -102, -31"
values_761,4,"{-69, 28, -12, -60"
values_204,4,"{26, -49, -4, 106"
values_48,23,"{9, 76, 18, 110, 49, 0, -96, -12, -28, -57, -78, 72, -56, 0, 12, -26, -58, 44, 40, -13, -59, -85, 95"
values_71,10,"{40, -96, -19, 117, -40, 71, -59, -107, 74, -3"
values_851,28,"{85, 48, -115, -57, 115, -120, -32, -60, -39, 30, 21, 109, -37, 90, -58, -95, -63, -75, 117, -20, 124, -25, 104, -4, 113, 8, -68, 13"
values_347,6,"{9, 64, 23, -92, -29, 48"
values_725,10,"{84, -47, 127, -71, 65, 73, -55, -32, -1, -110"
values_266,28,"{-80, 125, -9, -9, 79, -23, -22, 71, -103, 45, -53, -127, -37, -28, -14, -64, 35, 123, -44, 42, 83, -92, 56, -23, -120, -121, 88, 84"
values_448,8,"{-119, 1, -114, 89, 63, 106, -23, 54"
values_934,16,"{-38, -95, 24, 35, 64, -126, 85, -87, -11, 64, -10, -21, -98, 121, -77, 20"
values_531,17,"{117, -50, 107, -47, 124, 75, 127, -13, -103, 58, -53, -56, 29, 91, -38, -73, 28"
values_224,5,"{114, 14, 100, -64, -119"
values_686,3,"{90, -119, -11"
values_927,5,"{15, -117, 47, 48, -9"
values_407,24,"{-51, -123, -98, 19, -47, 93, 111, -31, 31, -1, 37, 16, 82, -78, 119, -2, 68, 94, -123, -61, -126, -65, -87, 96"
values_76,24,"{39, 127, 78, 1, 64, -27, 30, -74, -107, 92, 109, 66, 117, 111, -116, -64, -81, -8, 112, 3, -79, -104, 3, -124"
values_949,28,"{-31, 28, -36, 19, -38, -66, -112, 27, 112, 77, 62, 61, -72, 41, 7, -39, -9, 104, -108, 40, 54, -75, -14, 107, -127, -95, -77, 88"
values_969,25,"{-117, -71, -12, 112, -15, 70, 49, 99, -103, 77, 9, -122, 33, -69, -81, -85, -68, 58, -123, 36, 30, -107, -118, 13, -125"
values_781,16,"{0, 2, 13, -95, 79, 12, 121, 47, 56, -50, -32, -62, 84, 48, 67, -5"
values_7,23,"{-28, 3, -49, 61, 106, -4, 115, -67, -115, 41, 80, -44, -60, 90, -10, 60, 42, -92, 109, -77, 94, 48, 108"
