inputName,size,a[size]
values_192,3,"{37, 16, 96"
values_328,24,"{-31, -54, 95, 64, -106, 91, 107, -83, 49, -7, 68, 78, -77, -20, -37, 70, 20, 104, 52, -126, -43, -51, 26, -86"
values_68,7,"{-49, 73, 55, 10, -122, 46, -22"
values_387,24,"{62, -113, 99, -111, -76, 18, -18, 106, 45, -120, -30, -64, -42, 47, -40, -17, 57, 29, -13, -75, 108, -69, -37, 88"
values_69,9,"{11, -9, -53, 81, -92, 19, -13, 30, 42"
values_749,18,"{109, 68, 6, 89, -79, 33, 9, -27, 13, -50, -77, -14, -38, 27, -92, -45, -15, 95"
values_135,7,"{-21, 96, 112, 76, -21, -43, -62"
values_341,13,"{-91, -26, -27, 3, -61, 41, 74, 69, -121, -64, 102, -119, -52"
values_494,18,"{108, 80, 122, -44, 74, -5, 8, -53, -3, 45, -29, 15, -38, 38, 90, -105, -76, 52"
values_1,21,"{-8, -109, 84, 9, -67, -39, 122, 50, -102, 1, -88, -108, 58, 30, -91, -16, 16, 93, -61, 72, 77"
values_589,27,"{-121, -3, 46, -118, 86, 99, 85, 56, 68, 55, -34, -74, -32, -71, -100, -72, 81, -1, -70, 62, 97, 19, 30, 121, -48, -106, 84"
values_925,6,"{-116, 32, 81, -67, -66, -92"
values_524,17,"{-121, -64, -97, 101, -109, 96, 30, 51, 10, 18, 65, -105, -25, 30, 51, 46, -44"
values_994,13,"{65, 1, 56, -50, -23, -69, 103, 31, 46, 55, -10, 40, 65"
values_856,17,"{-2, -92, -97, 104, 100, 88, 52, -58, 84, -12, -91, 61, 78, 89, 13, -93, -104"
values_156,12,"{15, 88, 74, 56, -124, -20, -33, -25, -73, 71, -16, -84"
values_470,12,"{-66, -13, -83, -18, 18, -5, 14, 69, 82, 125, -33, -39"
values_207,6,"{44, -107, 121, -93, -106, -15"
values_655,25,"{21, -96, 70, 21, 100, 29, 4, -88, 63, -90, -86, 38, -28, 21, -91, 67, 86, 37, -30, 85, 54, 75, 3, -72, -2"
values_441,21,"{13, 38, 102, -121, -23, 76, -7, 100, -82, -13, 1, 19, -82, -16, -58, 66, -50, -120, 30, 0, -32"
values_109,18,"{36, 118, -40, -55, 36, 109, -23, 75, 34, -65, -94, -106, -93, -75, -85, -9, 90, -19"
values_45,15,"{74, -39, 11, -108, -73, 31, -77, -109, -111, -41, -119, -2, 41, -100, 40"
values_125,8,"{26, -79, 1, -35, 107, 36, 119, 13"
values_600,10,"{-125, 77, -79, -35, 23, -27, 73, 58, 66, 94"
values_708,12,"{-86, 112, 42, 67, -45, 36, 4, -72, -122, 46, 22, 29"
values_791,26,"{-57, 35, 115, 95, -61, 116, -116, -93, 36, 103, -30, -85, -70, -8, 19, -126, 124, 116, -117, 79, 22, 100, -49, -110, 35, -94"
values_912,14,"{-107, -35, -105, 33, -5, -105, 89, -108, 118, 112, 64, 37, -62, 103"
values_533,25,"{-116, 33, -12, -53, -114, 5, -55, -37, 13, -2, 124, 47, -30, 68, 29, -113, -106, 17, 19, -5, -88, -13, -9, -23, -67"
values_418,25,"{44, -74, 50, 0, -99, 26, 35, 82, -99, -15, 117, -87, 26, -111, 54, 9, -65, -123, -15, -93, 9, 103, 75, 89, 46"
values_228,21,"{97, -81, -57, 17, 104, 4, 118, 90, -83, -111, 125, 44, -42, 48, -64, -64, -39, -9, 4, -4, -81"
values_585,25,"{110, -53, 115, 92, -98, -39, -94, -50, -40, 81, 72, -14, 60, 126, -22, 83, -48, 4, -115, -58, -75, -29, 101, 64, -118"
values_465,13,"{-36, -81, -91, 105, -26, 94, -123, -54, -102, 90, 67, 100, -52"
values_239,18,"{-108, -69, -8, -40, 37, -17, -95, 85, -111, 87, 100, 31, 104, -23, -11, 3, -89, 115"
values_842,24,"{-68, 79, 119, 33, -27, 116, 113, 73, 107, -82, -82, 111, -79, 98, -102, 31, 59, 75, -45, 28, -86, 50, 117, 120"
values_208,15,"{-85, -99, 32, -10, -87, 126, 15, 125, -54, 16, 86, -111, -125, 19, -49"
values_932,12,"{-123, -66, -77, -36, -84, 65, -87, 59, 0, -117, 2, 96"
values_957,13,"{84, 106, -42, 104, 15, -14, -32, 115, 5, -37, -81, -45, 74"
values_563,6,"{0, -61, -121, -108, 3, -123"
values_766,9,"{-95, -125, 34, 11, 29, 71, -120, -73, -80"
values_476,17,"{41, -59, -79, 64, -109, 64, -48, 19, 117, -38, 57, -122, -17, 62, -122, -105, -9"
values_175,9,"{-58, -55, -48, -13, 67, 10, 81, -58, -50"
values_591,25,"{-19, 27, -81, -23, 76, -1, 17, 81, 6, -103, -58, 75, 100, 91, -115, 125, -109, -84, 106, -89, 76, -36, 52, 15, 116"
values_997,18,"{-92, -97, -46, -20, 106, -5, 37, -109, 68, -69, -117, -91, 122, 78, 20, -105, -112, 31"
values_385,15,"{-112, 114, -65, -7, -50, 110, -31, 46, -101, 54, 93, -89, -126, 54, -96"
values_115,26,"{-73, 46, 9, 6, 1, -53, -125, -98, -119, -57, 119, -123, 17, 22, -95, 71, -2, 88, -96, -7, 88, 82, 123, -82, 95, -5"
values_653,10,"{-80, -36, 15, -21, -34, 7, -33, -26, -118, 12"
values_753,25,"{-96, 121, -43, -13, 121, 64, -48, -98, -65, -73, -57, -35, 21, 60, -83, 37, -66, 112, 80, -86, -81, 94, 68, -6, -98"
values_241,20,"{38, 79, -9, 73, -17, 83, 36, 81, -88, -29, 74, 102, 113, -78, -19, -25, 115, 51, -78, -74"
values_197,20,"{43, -109, 0, 125, 103, 15, 17, -110, 96, -34, -93, -70, 16, 124, -23, -25, -52, 98, -125, 80"
values_636,2,"{-58, -45"
values_450,7,"{114, 79, 13, 115, 18, 43, 68"
values_106,27,"{70, -8, 51, -42, -98, -113, -36, 26, -36, -91, -100, 10, -6, 50, -126, -6, -44, -69, -61, -78, 107, 45, 90, 35, -10, -93, 21"
values_699,22,"{-92, -52, 48, -50, -65, 49, -54, -18, 39, 92, -14, 43, -109, -96, -41, 116, 89, 77, -59, -32, -60, -66"
values_578,15,"{-75, 114, 20, -85, 9, -82, 47, 18, -61, 74, 64, 27, 7, -22, 13"
values_644,10,"{22, -72, 37, -94, 11, 78, 65, -13, -114, 70"
values_570,2,"{110, 58"
values_873,16,"{-19, -64, -69, -53, 31, -78, 36, -60, 123, -13, -42, 55, -78, -113, 126, -9"
values_33,21,"{-8, -16, -91, 77, 12, -108, -88, -104, 32, -123, -33, -95, 41, -17, 48, -88, 40, 18, 51, -17, -1"
values_210,8,"{99, -91, -54, -39, 16, 7, 44, 86"
values_486,10,"{-8, -69, -62, -84, 100, -24, -103, -45, -110, 91"
values_252,4,"{-124, 11, 29, 50"
values_694,10,"{-62, 47, -94, -6, 97, -109, -114, 121, 57, 11"
values_759,3,"{-119, -11, -57"
values_245,24,"{-25, -11, -21, 46, 14, 23, 111, 54, 53, -55, 67, 59, -39, 70, 32, 36, -66, 102, -98, -23, -36, -94, 91, 106"
values_15,10,"{-96, -24, 41, -40, -37, 94, -124, -77, 89, 122"
values_792,12,"{-86, 84, -99, 117, -104, 86, 30, 112, 11, 64, 1, -28"
values_248,6,"{-21, 64, 68, -31, -28, -3"
values_246,26,"{-52, -26, 95, 60, -27, 66, -29, -2, 85, 1, 95, -51, 38, 101, -20, -15, -45, -81, -65, 59, 48, -27, -110, -69, 100, -50"
values_556,22,"{-83, -85, 109, 1, 85, -55, -92, 100, -29, -45, -9, -82, -85, -106, -34, 83, -96, 125, -87, -121, -78, 37"
values_513,4,"{27, -101, -67, 113"
values_93,28,"{13, -15, -74, 4, 112, 109, 72, 11, -9, -92, 82, 45, -40, -74, 46, -58, -83, -1, -15, 69, 100, -67, 6, -111, 9, -82, 25, 59"
values_558,11,"{-95, -92, -71, 84, 55, -35, -70, 106, -123, -126, 2"
values_991,26,"{117, 22, 1, 3, 1, -14, -106, -28, 54, -113, -42, 125, -83, -11, 83, -90, 77, 72, 112, 36, -72, -44, 123, 36, 123, 54"
values_181,24,"{-38, -25, 82, -45, -59, -114, 113, -48, 38, 7, 43, -22, -105, -33, -97, 80, 86, -103, 81, 93, -68, 28, 35, 59"
values_674,23,"{80, 92, -120, 12, -126, -9, -22, 15, -88, -89, 67, -14, -57, -108, 24, 57, -89, 19, 52, -2, 82, 73, 106"
values_652,16,"{57, -20, 86, -49, -126, 38, -114, -4, -31, -46, -103, 108, -88, 31, -92, -104"
values_344,6,"{123, 6, -47, 95, 102, -123"
values_715,11,"{-118, 75, -73, 123, -36, -3, -17, -49, -38, 41, -80"
values_528,9,"{-80, -121, 55, 125, 31, 36, -62, 20, 38"
values_276,14,"{-47, 17, -17, -102, -47, 3, 110, 69, -104, 6, -60, 58, 125, 40"
values_24,15,"{7, 21, 14, 14, 81, -32, 86, 11, -3, -16, -64, 90, 81, -7, 33"
values_296,16,"{37, 118, 124, -80, -122, 22, 66, -43, -17, 73, -45, 26, 30, 78, 6, 102"
values_244,7,"{-120, -86, -84, -30, -109, -37, 106"
values_380,22,"{110, 23, 13, 28, -48, -80, 117, -89, -64, 52, -40, -46, 36, -101, -109, 37, -20, 45, 9, 28, -87, -118"
values_25,15,"{20, 74, -44, 78, 70, -60, -17, -10, 62, -111, 89, 47, 11, 21, 42"
values_740,24,"{113, 19, 82, 0, 15, 68, -19, 48, 6, 20, 118, 102, -22, 31, 100, -114, 41, -34, -92, -55, -94, -53, 0, -55"
values_478,18,"{29, -92, 112, 1, -75, -42, -19, -9, 41, -4, -43, 93, 42, -9, -31, -118, 79, -26"
values_379,3,"{95, 114, 69"
values_810,28,"{-89, 126, 21, -60, -94, 1, -83, 49, 76, 77, -103, 102, -111, 37, -76, 95, -85, 113, -7, 37, 29, 75, 5, -70, -6, 72, 7, -26"
values_440,5,"{22, 5, -73, 11, -26"
values_543,9,"{59, -126, 87, -88, -91, -45, 92, 107, -118"
values_130,12,"{2, 1, 6, 28, 125, -84, -21, -72, -38, -98, 45, 112"
values_225,22,"{12, -111, -19, -72, -8, -67, 120, -25, 115, -17, 101, -95, 18, 38, 10, 31, 105, 71, 17, 101, 126, 7"
values_285,12,"{76, 39, 113, -57, 45, 88, 27, -67, 125, -81, 116, -100"
values_363,14,"{-85, -7, -97, -75, -55, 107, 64, 25, 122, 76, -111, -116, -44, -67"
values_667,21,"{98, -125, 23, 117, 49, 91, 77, -42, -119, -105, 18, 114, 110, 118, -74, -116, -20, 91, -122, -111, 21"
values_26,10,"{27, 10, -29, -48, -13, 72, -76, -25, -11, -96"
values_793,11,"{-41, -57, 87, -68, -42, -20, -8, -64, 64, 67, -45"
values_772,12,"{-83, 69, 24, -96, -72, 33, -58, -39, 123, -126, 60, 37"
values_931,25,"{32, 47, -85, -99, 65, -121, 124, 99, -11, 124, 53, 9, -37, -100, -77, -71, 66, -52, -29, 30, 85, 13, 40, 26, 21"
values_981,13,"{9, 60, -117, 31, 33, -84, -67, -2, -101, 19, -18, -20, -108"
values_422,20,"{114, -55, -16, 75, 5, 51, -33, 1, 44, 26, -60, 5, -100, 110, -105, -59, -11, 95, 118, -89"
values_920,28,"{-48, -44, -25, -101, 115, 68, 38, -55, 123, -54, -87, -111, -93, -16, -37, -61, -72, 46, -49, 68, -26, -100, 64, -28, 84, -77, 94, -63"
values_259,16,"{32, -86, -21, -109, -96, -42, 46, 21, 36, -28, 46, -6, -77, -3, -90, -53"
values_477,17,"{7, -1, -30, 72, 25, 70, -31, 53, -112, -123, 97, 119, -89, 126, -62, 73, 31"
values_738,15,"{-57, -80, -12, 85, -84, -35, 98, 17, -114, 0, 98, 126, -120, 57, 40"
values_430,2,"{-81, -49"
values_922,18,"{-120, 79, -81, -26, 78, 115, 108, -33, -46, 50, 53, 91, 57, 86, -69, 30, -21, 75"
values_903,10,"{9, -76, 63, 99, -86, -38, -114, -61, 60, 49"
values_761,2,"{12, -28"
values_204,6,"{78, 101, -6, -6, 89, 126"
values_48,22,"{41, 81, -23, -114, 32, 35, 48, -90, 71, -106, -58, 17, 36, -40, -30, 44, 56, -32, -120, 10, 104, 33"
values_71,11,"{-101, 108, -63, 86, -18, 21, -71, 85, -96, -41, -48"
values_851,15,"{78, 112, -4, 36, 62, 75, -95, -36, -101, -62, 67, -110, -93, 71, 1"
values_347,6,"{-78, 92, 73, -125, 53, -39"
values_725,6,"{-38, 56, -10, 115, 50, 96"
values_266,27,"{74, 24, 11, 110, -75, -47, -33, 115, -125, 102, -82, -89, 41, -92, -105, -80, -10, 106, -112, -89, 23, -13, 13, 116, -5, -92, 50"
values_448,4,"{-61, 38, -95, -8"
values_934,15,"{57, 75, -72, -21, -76, 86, -43, 18, -41, -74, -118, 73, -110, -30, -86"
values_531,21,"{-27, -40, 117, 38, -59, 27, 8, -48, -13, -28, -113, 89, -86, -10, 91, -68, 57, -12, 72, -90, -10"
values_224,16,"{-7, -106, 41, 37, 38, 109, -67, -6, -13, 31, -47, -54, -43, -111, -45, 57"
values_686,9,"{80, -87, -47, 50, 38, 109, 22, -9, 35"
values_927,26,"{-19, 26, 71, 28, 20, 94, 40, 67, 120, 65, -81, 118, -30, -104, -55, -57, -102, -117, 77, 18, 64, 31, 62, -64, -68, -83"
values_407,4,"{68, 99, -60, 26"
values_76,12,"{47, -116, 81, 117, 51, -8, 92, -72, -49, 109, 100, -68"
values_949,6,"{93, 93, -36, 122, -125, 94"
values_969,10,"{14, 67, 60, -15, -10, -65, 124, -36, -42, 43"
values_781,26,"{-94, 29, -36, -86, -38, 124, 51, -124, 14, -79, -106, 26, 25, 82, -75, 124, -112, -30, 8, -93, -61, 17, -61, 118, 25, 93"
values_7,21,"{110, 116, -99, 45, -87, 2, 51, -10, -9, 122, -81, 58, 102, 30, 19, -106, -76, -4, -11, -94, 94"
values_683,6,"{-111, 83, 71, 6, -85, -109"
values_376,5,"{-100, -97, 83, -125, -83"
values_877,14,"{66, 6, -69, -4, 99, 17, 81, 125, 97, 101, -64, -51, 39, -73"
values_654,8,"{123, -74, -97, 6, -15, -105, -101, 15"
values_508,24,"{-4, 106, 98, 94, 69, 10, 105, 56, 16, -31, 43, -66, -76, 123, -125, 61, -80, -33, 42, 22, 84, 83, -33, 52"
values_332,7,"{62, 21, -126, -78, -108, 2, -69"
values_281,4,"{103, 117, -117, -46"
values_381,17,"{101, -110, -77, -50, 120, -98, 65, -102, -1, -91, 104, -11, -11, -93, -46, -22, 64"
values_769,23,"{-25, 62, -93, 85, -103, -20, 24, -108, -38, -72, 43, -19, -110, 58, 11, -94, 76, -117, 74, -65, -119, -96, -118"
values_701,15,"{-48, 103, 101, 99, -102, -102, 109, 0, 22, -69, 102, -25, 96, -99, -114"
values_855,17,"{89, -124, 28, 118, 54, -12, -16, -98, -49, 22, -9, 50, 9, 68, 15, 57, 49"
values_320,19,"{-55, 124, -100, -38, 94, -24, 22, -102, 93, -10, -11, -36, -40, -62, -73, 123, 67, -81, -68"
values_50,11,"{122, 114, -22, -71, -2, -114, 13, -36, -106, -85, -25"
values_918,10,"{30, 4, 12, 69, -55, -63, -120, 77, 21, 73"
values_615,5,"{46, 57, 40, 9, 122"
values_704,18,"{-8, 56, 78, -87, 48, 59, -61, 58, 60, 7, 55, -34, 79, 36, -98, -123, -120, -71"
values_633,17,"{6, 5, 54, 124, 8, -108, 11, 14, 122, -2, -106, 2, 99, 60, -89, -101, -4"
values_847,19,"{-89, 14, 28, -48, 84, 57, 17, -18, 93, -101, 4, -105, -1, 110, 83, 18, -120, 75, -37"
