inputName,m,n
values_584,82,18
values_457,20,102
values_499,109,102
values_369,49,7
values_58,35,103
values_64,54,118
values_196,81,81
values_462,20,91
values_343,113,33
values_262,88,104
values_966,127,104
values_261,88,58
values_349,113,93
values_263,88,39
values_801,82,13
values_292,101,81
values_786,57,40
values_101,107,58
values_691,91,102
values_926,31,116
values_754,82,40
values_215,81,33
values_977,127,7
values_850,19,40
values_646,52,104
values_628,48,102
values_941,108,109
values_353,49,13
values_690,91,40
values_961,127,13
values_331,113,28
values_377,49,33
values_128,76,118
values_336,113,116
values_632,48,20
values_166,49,104
values_744,82,18
values_837,19,58
values_807,82,39
values_838,19,104
values_723,63,102
values_874,100,58
values_627,48,102
values_555,73,28
values_446,63,116
values_716,63,62
values_240,8,116
values_140,76,62
values_317,101,93
values_83,54,102
values_696,91,20
values_413,6,93
values_94,54,116
values_937,108,102
values_199,81,39
values_596,82,102
values_0,80,118
values_953,108,33
values_906,31,58
values_742,82,104
values_396,6,62
values_159,76,53
values_238,8,91
values_136,76,18
values_915,31,102
values_99,107,4
values_771,57,4
values_96,107,118
values_768,57,118
values_1001,109,102
values_67,54,4
values_565,73,66
values_848,19,116
values_114,107,40
values_61,35,93
values_511,109,53
values_729,63,33
values_460,20,62
values_832,19,118
values_1015,109,33
values_348,113,45
values_182,49,38
values_986,127,103
values_180,49,102
values_930,108,5
values_274,88,40
values_309,101,66
values_496,109,116
values_165,49,58
values_553,73,102
values_1023,109,53
values_870,100,104
values_795,57,85
values_361,49,102
values_302,101,91
values_586,82,58
values_880,100,116
values_665,52,33
values_527,46,115
values_372,49,102
values_382,49,116
values_43,35,28
values_935,108,39
values_2,80,5
values_790,57,38
values_152,76,20
values_871,100,39
values_434,63,40
values_775,57,39
values_500,109,102
values_220,81,45
values_875,100,28
values_249,8,33
values_808,82,18
values_859,19,85
values_539,46,85
values_635,48,85
values_311,101,33
values_183,49,33
values_54,35,38
values_390,6,104
values_890,100,103
values_711,63,39
values_471,20,33
values_995,109,4
values_443,63,85
values_464,20,116
values_774,57,104
values_200,81,18
values_747,82,28
values_758,82,38
values_30,80,116
values_820,82,102
values_393,6,102
values_576,82,118
values_445,63,93
values_662,52,38
values_403,6,102
values_640,52,118
values_59,35,85
values_490,109,58
values_194,81,5
values_751,82,115
values_1007,109,115
values_663,52,33
values_938,108,58
values_532,46,102
values_885,100,66
values_713,63,102
values_193,81,13
values_650,52,58
values_564,73,102
values_267,88,28
values_147,76,102
values_709,63,58
values_857,19,33
values_334,113,91
values_965,127,58
values_824,82,20
values_784,57,116
values_229,8,58
values_538,46,103
values_463,20,115
values_741,82,58
values_85,54,66
values_493,109,109
values_794,57,103
values_202,81,58
values_74,54,58
values_410,6,103
values_469,20,66
values_394,6,58
values_149,76,66
values_945,108,7
values_293,101,58
values_456,20,18
values_975,127,115
values_547,73,4
values_164,49,81
values_720,63,116
values_833,19,13
values_90,54,103
values_954,108,103
values_1002,109,58
values_483,109,4
values_990,127,116
values_113,107,7
values_878,100,91
values_942,108,91
values_126,107,116
values_666,52,103
values_960,127,118
values_783,57,115
values_735,63,53
values_439,63,33
values_860,19,45
values_18,80,40
values_173,49,109
values_454,20,104
values_176,49,116
values_698,91,103
values_869,100,58
values_697,91,33
values_509,109,93
values_189,49,93
values_714,63,58
values_270,88,91
values_863,19,53
values_548,73,81
values_359,49,39
values_512,46,118
values_656,52,116
values_684,91,62
values_171,49,28
values_675,91,4
values_657,52,7
values_333,113,109
values_599,82,33
values_129,76,13
values_886,100,38
values_107,107,28
values_272,88,116
values_52,35,102
values_819,82,102
values_682,91,58
values_44,35,62
values_914,31,40
values_346,113,103
values_151,76,33
values_550,73,104
values_326,113,104
values_836,19,81
values_437,63,66
values_984,127,20
values_17,80,7
values_748,82,62
values_581,82,58
values_705,63,13
values_121,107,33
values_219,81,85
values_321,113,13
values_843,19,28
values_606,82,116
values_898,31,5
values_601,82,33
values_36,35,81
values_282,88,103
values_395,6,28
values_449,20,13
values_209,81,7
values_956,108,45
values_579,82,4
values_484,109,81
values_521,46,102
values_617,48,102
values_516,46,81
values_358,49,104
values_335,113,115
values_139,76,28
values_992,109,118
values_211,81,102
values_507,109,85
values_921,31,33
values_138,76,58
values_275,88,102
values_614,48,104
values_49,35,7
values_227,8,4
values_203,81,28
values_172,49,62
values_86,54,38
values_1011,109,102
values_178,49,40
values_978,127,40
values_253,8,93
values_1010,109,40
values_291,101,4
values_911,31,115
values_230,8,104
values_318,101,116
values_798,57,116
values_638,48,116
values_112,107,116
values_201,81,102
values_629,48,66
values_337,113,7
values_37,35,58
values_56,35,20
values_316,101,45
values_829,82,93
values_63,35,53
values_35,35,4
values_519,46,39
values_481,109,13
values_278,88,38
values_186,49,103
values_702,91,116
values_722,63,40
values_97,107,13
values_329,113,102
values_75,54,28
values_560,73,116
values_612,48,81
values_421,63,58
values_639,48,53
values_939,108,28
values_198,81,104
values_840,19,18
values_415,6,53
values_405,6,66
values_100,107,81
values_726,63,38
values_265,88,102
values_743,82,39
values_436,63,102
values_583,82,39
values_525,46,109
values_677,91,58
values_289,101,13
values_255,8,53
values_529,46,7
values_826,82,103
values_362,49,58
values_355,49,4
values_506,109,103
values_315,101,85
values_604,82,45
values_57,35,33
values_133,76,58
values_787,57,102
values_799,57,53
values_765,82,93
values_887,100,33
values_952,108,20
values_631,48,33
values_306,101,40
values_497,109,7
values_821,82,66
values_618,48,58
values_271,88,115
values_645,52,58
values_985,127,33
values_400,6,116
values_562,73,40
values_590,82,91
values_648,52,18
values_325,113,58
values_883,100,102
values_827,82,85
values_854,19,38
values_307,101,102
values_88,54,20
values_958,108,116
values_251,8,85
values_902,31,104
values_680,91,18
values_884,100,102
values_901,31,58
values_354,49,5
values_420,63,81
values_103,107,39
values_10,80,58
values_474,20,103
values_53,35,66
values_8,80,18
values_39,35,39
values_755,82,102
values_124,107,45
values_841,19,102
values_510,109,116
values_989,127,93
values_706,63,5
values_257,88,13
values_811,82,28
values_111,107,115
values_47,35,115
values_928,108,118
values_561,73,7
values_383,49,53
values_498,109,40
values_60,35,45
values_737,82,13
values_624,48,116
values_973,127,109
values_472,20,20
values_280,88,20
values_389,6,58
values_651,52,28
values_642,52,5
values_668,52,45
values_551,73,39
values_750,82,91
values_592,82,116
values_89,54,33
values_411,6,85
values_620,48,62
values_357,49,58
values_247,8,33
values_692,91,102
values_572,73,45
values_757,82,66
values_566,73,38
values_216,81,20
values_951,108,33
values_910,31,91
values_338,113,40
values_461,20,109
values_730,63,103
values_734,63,116
values_51,35,102
values_678,91,104
values_327,113,39
values_473,20,33
values_453,20,58
values_154,76,103
values_452,20,81
values_221,81,93
values_323,113,4
values_844,19,62
values_673,91,13
values_427,63,28
values_933,108,58
values_1005,109,109
values_802,82,5
values_852,19,102
values_487,109,39
values_762,82,103
values_515,46,4
values_479,20,53
values_948,108,102
values_467,20,102
values_14,80,91
values_868,100,81
values_188,49,45
values_489,109,102
values_865,100,13
values_728,63,20
values_996,109,81
values_277,88,66
values_936,108,18
values_554,73,58
values_763,82,85
values_834,19,5
values_613,48,58
values_907,31,28
values_825,82,33
values_308,101,102
values_294,101,104
values_522,46,58
values_322,113,5
values_28,80,45
values_1020,109,45
values_760,82,20
values_559,73,115
values_685,91,109
values_908,31,62
values_919,31,33
values_724,63,102
values_947,108,102
values_214,81,38
values_468,20,102
values_967,127,39
values_234,8,58
values_983,127,33
values_719,63,115
values_110,107,91
values_235,8,28
values_588,82,62
values_185,49,33
values_732,63,45
values_896,31,118
values_888,100,20
values_923,31,85
values_767,82,53
values_179,49,102
values_195,81,4
values_148,76,102
values_917,31,66
values_634,48,103
values_157,76,93
values_314,101,103
values_879,100,115
values_16,80,116
values_839,19,39
values_150,76,38
values_1012,109,102
values_835,19,4
values_161,49,13
values_34,35,5
values_959,108,53
values_264,88,18
values_123,107,85
values_623,48,115
values_187,49,85
values_575,73,53
values_466,20,40
values_621,48,109
values_82,54,40
values_352,49,118
values_779,57,28
values_946,108,40
values_756,82,102
values_502,109,38
values_641,52,13
values_882,100,40
values_46,35,91
values_721,63,7
values_105,107,102
values_284,88,45
values_295,101,39
values_1019,109,85
values_423,63,39
values_544,73,118
values_384,6,118
values_206,81,91
values_817,82,7
values_788,57,102
values_205,81,109
values_243,8,102
values_619,48,28
values_514,46,5
values_703,91,53
values_605,82,93
values_659,52,102
values_929,108,13
values_365,49,109
values_495,109,115
values_1013,109,66
values_431,63,115
values_482,109,5
values_611,48,4
values_846,19,91
values_27,80,85
values_736,82,118
values_815,82,115
values_145,76,7
values_582,82,104
values_492,109,62
values_881,100,7
values_237,8,109
values_1003,109,28
values_409,6,33
values_1008,109,116
values_108,107,62
values_299,101,28
values_20,80,102
values_485,109,58
values_303,101,115
values_425,63,102
values_597,82,66
values_517,46,58
values_672,91,118
values_340,113,102
values_339,113,102
values_424,63,18
values_9,80,102
values_587,82,28
values_417,63,13
values_116,107,102
values_475,20,85
values_184,49,20
values_223,81,53
values_804,82,81
values_374,49,38
values_864,100,118
values_444,63,45
values_92,54,45
values_773,57,58
values_131,76,4
values_710,63,104
values_693,91,66
values_944,108,116
values_573,73,93
values_712,63,18
values_718,63,91
values_3,80,4
values_805,82,58
values_98,107,5
values_304,101,116
values_897,31,13
values_153,76,33
values_368,49,116
values_689,91,7
values_830,82,116
values_29,80,93
values_301,101,109
values_286,88,116
values_580,82,81
values_593,82,7
values_80,54,116
values_416,63,118
values_305,101,7
values_142,76,91
values_800,82,118
values_661,52,66
values_73,54,102
values_297,101,102
values_167,49,39
values_594,82,40
values_367,49,115
values_552,73,18
values_608,48,118
values_797,57,93
values_288,101,118
values_764,82,45
values_622,48,91
values_785,57,7
values_676,91,81
values_330,113,58
values_595,82,102
values_968,127,18
values_503,109,33
values_378,49,103
values_610,48,5
