inputName,m,n
values_324,68,3
values_549,32,112
values_170,42,105
values_269,100,88
values_442,26,14
values_520,79,112
values_455,27,81
values_31,5,87
values_971,94,56
values_397,36,88
values_254,34,125
values_616,112,112
values_66,34,126
values_943,71,29
values_117,59,29
values_451,27,27
values_643,20,27
values_688,47,7
values_569,32,42
values_745,94,91
values_65,34,88
values_980,94,82
values_982,94,5
values_62,6,125
values_789,24,29
values_401,36,8
values_21,5,29
values_598,79,5
values_273,100,8
values_534,79,5
values_118,59,5
values_141,82,88
values_366,44,72
values_222,36,125
values_876,110,121
values_700,47,40
values_95,34,87
values_806,38,44
values_671,20,87
values_816,38,7
values_630,112,5
values_433,26,8
values_905,91,91
values_84,34,82
values_233,34,91
values_664,20,120
values_162,42,126
values_681,47,91
values_542,79,125
values_169,42,91
values_660,20,82
values_488,35,112
values_894,110,125
values_828,38,40
values_537,79,42
values_845,89,88
values_584,79,112
values_457,27,91
values_499,35,111
values_369,44,8
values_58,6,14
values_64,34,61
values_196,36,3
values_462,27,72
values_343,68,31
values_262,100,44
values_966,94,44
values_261,100,112
values_349,68,109
values_263,100,81
values_801,38,88
values_292,70,3
values_786,24,125
values_101,59,112
values_691,47,111
values_926,91,125
values_754,94,125
values_215,36,31
values_977,94,8
values_850,89,125
values_646,20,44
values_628,112,82
values_941,71,88
values_353,44,88
values_690,47,125
values_961,94,88
values_331,68,56
values_377,44,42
values_128,82,61
values_336,68,7
values_632,112,120
values_166,42,44
values_744,94,112
values_837,89,112
values_807,38,81
values_838,89,44
values_723,58,111
values_874,110,105
values_627,112,111
values_555,32,56
values_446,26,125
values_716,58,121
values_240,34,7
values_140,82,121
values_317,70,109
values_83,34,111
values_696,47,120
values_413,36,109
values_94,34,125
values_937,71,91
values_199,36,81
values_596,79,82
values_0,5,61
values_953,71,42
values_906,91,105
values_742,94,44
values_396,36,121
values_159,82,87
values_238,34,72
values_136,82,112
values_915,91,111
values_99,59,27
values_771,24,27
values_96,59,61
values_768,24,61
values_1001,25,91
values_67,34,27
values_565,32,29
values_848,89,7
values_114,59,125
values_61,6,109
values_511,35,87
values_729,58,42
values_460,27,121
values_832,89,61
values_1015,25,31
values_348,68,40
values_182,42,5
values_986,94,14
values_180,42,82
values_930,71,126
values_274,100,125
values_309,70,29
values_496,35,7
values_165,42,112
values_553,32,91
values_1023,25,87
values_870,110,44
values_795,24,50
values_361,44,91
values_302,70,72
values_586,79,105
values_880,110,7
values_665,20,42
values_527,79,29
values_372,44,82
values_382,44,125
values_43,6,56
values_935,71,81
values_2,5,126
values_790,24,5
values_152,82,120
values_871,110,81
values_434,26,125
values_775,24,81
values_500,35,82
values_220,36,40
values_875,110,56
values_249,34,42
values_808,38,112
values_859,89,50
values_539,79,50
values_635,112,50
values_311,70,31
values_183,42,31
values_54,6,5
values_390,36,44
values_890,110,14
values_711,58,81
values_471,27,31
values_995,25,27
values_443,26,50
values_464,27,7
values_774,24,44
values_200,36,112
values_747,94,56
values_758,94,5
values_30,5,125
values_820,38,82
values_393,36,91
values_576,79,61
values_445,26,109
values_662,20,5
values_403,36,111
values_640,20,61
values_59,6,50
values_490,35,105
values_194,36,126
values_751,94,29
values_1007,25,29
values_663,20,31
values_938,71,105
values_532,79,82
values_885,110,29
values_713,58,91
values_193,36,88
values_650,20,105
values_564,32,82
values_267,100,56
values_147,82,111
values_709,58,112
values_857,89,42
values_334,68,72
values_965,94,112
values_824,38,120
values_784,24,7
values_229,34,112
values_538,79,14
values_463,27,29
values_741,94,112
values_85,34,29
values_493,35,88
values_794,24,14
values_202,36,105
values_74,34,105
values_410,36,14
values_469,27,29
values_394,36,105
values_149,82,29
values_945,71,8
values_293,70,112
values_456,27,112
values_975,94,29
values_547,32,27
values_164,42,3
values_720,58,7
values_833,89,88
values_90,34,14
values_954,71,14
values_1002,25,105
values_483,35,27
values_990,94,125
values_113,59,8
values_878,110,72
values_942,71,72
values_126,59,125
values_666,20,14
values_960,94,61
values_783,24,29
values_735,58,87
values_439,26,31
values_860,89,40
values_18,5,125
values_173,42,88
values_454,27,44
values_176,42,7
values_698,47,14
values_869,110,112
values_697,47,42
values_509,35,109
values_189,42,109
values_714,58,105
values_270,100,72
values_863,89,87
values_548,32,3
values_359,44,81
values_512,79,61
values_656,20,7
values_684,47,121
values_171,42,56
values_675,47,27
values_657,20,8
values_333,68,88
values_599,79,31
values_129,82,88
values_886,110,5
values_107,59,56
values_272,100,7
values_52,6,82
values_819,38,111
values_682,47,105
values_44,6,121
values_914,91,125
values_346,68,14
values_151,82,31
values_550,32,44
values_326,68,44
values_836,89,3
values_437,26,29
values_984,94,120
values_17,5,8
values_748,94,121
values_581,79,112
values_705,58,88
values_121,59,42
values_219,36,50
values_321,68,88
values_843,89,56
values_606,79,125
values_898,91,126
values_601,79,42
values_36,6,3
values_282,100,14
values_395,36,56
values_449,27,88
values_209,36,8
values_956,71,40
values_579,79,27
values_484,35,3
values_521,79,91
values_617,112,91
values_516,79,3
values_358,44,44
values_335,68,29
values_139,82,56
values_992,25,61
values_211,36,111
values_507,35,50
values_921,91,42
values_138,82,105
values_275,100,111
values_614,112,44
values_49,6,8
values_227,34,27
values_203,36,56
values_172,42,121
values_86,34,5
values_1011,25,111
values_178,42,125
values_978,94,125
values_253,34,109
values_1010,25,125
values_291,70,27
values_911,91,29
values_230,34,44
values_318,70,125
values_798,24,125
values_638,112,125
values_112,59,7
values_201,36,91
values_629,112,29
values_337,68,8
values_37,6,112
values_56,6,120
values_316,70,40
values_829,38,109
values_63,6,87
values_35,6,27
values_519,79,81
values_481,35,88
values_278,100,5
values_186,42,14
values_702,47,125
values_722,58,125
values_97,59,88
values_329,68,91
values_75,34,56
values_560,32,7
values_612,112,3
values_421,26,112
values_639,112,87
values_939,71,56
values_198,36,44
values_840,89,112
values_415,36,87
values_405,36,29
values_100,59,3
values_726,58,5
values_265,100,91
values_743,94,81
values_436,26,82
values_583,79,81
values_525,79,88
values_677,47,112
values_289,70,88
values_255,34,87
values_529,79,8
values_826,38,14
values_362,44,105
values_355,44,27
values_506,35,14
values_315,70,50
values_604,79,40
values_57,6,42
values_133,82,112
values_787,24,111
values_799,24,87
values_765,94,109
values_887,110,31
values_952,71,120
values_631,112,31
values_306,70,125
values_497,35,8
values_821,38,29
values_618,112,105
values_271,100,29
values_645,20,112
values_985,94,42
values_400,36,7
values_562,32,125
values_590,79,72
values_648,20,112
values_325,68,112
values_883,110,111
values_827,38,50
values_854,89,5
values_307,70,111
values_88,34,120
values_958,71,125
values_251,34,50
values_902,91,44
values_680,47,112
values_884,110,82
values_901,91,112
values_354,44,126
values_420,26,3
values_103,59,81
values_10,5,105
values_474,27,14
values_53,6,29
values_8,5,112
values_39,6,81
values_755,94,111
values_124,59,40
values_841,89,91
values_510,35,125
values_989,94,109
values_706,58,126
values_257,100,88
values_811,38,56
values_111,59,29
values_47,6,29
values_928,71,61
values_561,32,8
values_383,44,87
values_498,35,125
values_60,6,40
values_737,94,88
values_624,112,7
values_973,94,88
values_472,27,120
values_280,100,120
values_389,36,112
values_651,20,56
values_642,20,126
values_668,20,40
values_551,32,81
values_750,94,72
values_592,79,7
values_89,34,42
values_411,36,50
values_620,112,121
values_357,44,112
values_247,34,31
values_692,47,82
values_572,32,40
values_757,94,29
values_566,32,5
values_216,36,120
values_951,71,31
values_910,91,72
values_338,68,125
values_461,27,88
values_730,58,14
values_734,58,125
values_51,6,111
values_678,47,44
values_327,68,81
values_473,27,42
values_453,27,112
values_154,82,14
values_452,27,3
values_221,36,109
values_323,68,27
values_844,89,121
values_673,47,88
values_427,26,56
values_933,71,112
values_1005,25,88
values_802,38,126
values_852,89,82
values_487,35,81
values_762,94,14
values_515,79,27
values_479,27,87
values_948,71,82
values_467,27,111
values_14,5,72
values_868,110,3
values_188,42,40
values_489,35,91
values_865,110,88
values_728,58,120
values_996,25,3
values_277,100,29
values_936,71,112
values_554,32,105
values_763,94,50
values_834,89,126
values_613,112,112
values_907,91,56
values_825,38,42
values_308,70,82
values_294,70,44
values_522,79,105
values_322,68,126
values_28,5,40
values_1020,25,40
values_760,94,120
values_559,32,29
values_685,47,88
values_908,91,121
values_919,91,31
values_724,58,82
values_947,71,111
values_214,36,5
values_468,27,82
values_967,94,81
values_234,34,105
values_983,94,31
values_719,58,29
values_110,59,72
values_235,34,56
values_588,79,121
values_185,42,42
values_732,58,40
values_896,91,61
values_888,110,120
values_923,91,50
values_767,94,87
values_179,42,111
values_195,36,27
values_148,82,82
values_917,91,29
values_634,112,14
values_157,82,109
values_314,70,14
values_879,110,29
values_16,5,7
values_839,89,81
values_150,82,5
values_1012,25,82
values_835,89,27
values_161,42,88
values_34,6,126
values_959,71,87
values_264,100,112
values_123,59,50
values_623,112,29
values_187,42,50
values_575,32,87
values_466,27,125
values_621,112,88
values_82,34,125
values_352,44,61
values_779,24,56
values_946,71,125
values_756,94,82
values_502,35,5
values_641,20,88
values_882,110,125
values_46,6,72
values_721,58,8
values_105,59,91
values_284,100,40
values_295,70,81
values_1019,25,50
values_423,26,81
values_544,32,61
values_384,36,61
values_206,36,72
values_817,38,8
values_788,24,82
values_205,36,88
values_243,34,111
values_619,112,56
values_514,79,126
values_703,47,87
values_605,79,109
values_659,20,111
values_929,71,88
values_365,44,88
values_495,35,29
values_1013,25,29
values_431,26,29
values_482,35,126
values_611,112,27
values_846,89,72
values_27,5,50
values_736,94,61
values_815,38,29
values_145,82,8
values_582,79,44
values_492,35,121
values_881,110,8
values_237,34,88
values_1003,25,56
values_409,36,42
values_1008,25,7
values_108,59,121
values_299,70,56
values_20,5,82
values_485,35,112
values_303,70,29
values_425,26,91
values_597,79,29
values_517,79,112
values_672,47,61
values_340,68,82
values_339,68,111
values_424,26,112
values_9,5,91
values_587,79,56
values_417,26,88
values_116,59,82
values_475,27,50
values_184,42,120
values_223,36,87
values_804,38,3
values_374,44,5
values_864,110,61
values_444,26,40
values_92,34,40
values_773,24,112
values_131,82,27
values_710,58,44
values_693,47,29
values_944,71,7
values_573,32,109
values_712,58,112
values_718,58,72
values_3,5,27
values_805,38,112
values_98,59,126
values_304,70,7
values_897,91,88
values_153,82,42
values_368,44,7
values_689,47,8
values_830,38,125
values_29,5,109
values_301,70,88
values_286,100,125
values_580,79,3
values_593,79,8
values_80,34,7
values_416,26,61
values_305,70,8
values_142,82,72
values_800,38,61
values_661,20,29
values_73,34,91
values_297,70,91
values_167,42,81
values_594,79,125
values_367,44,29
values_552,32,112
values_608,112,61
values_797,24,109
values_288,70,61
values_764,94,40
values_622,112,72
values_785,24,8
values_676,47,3
values_330,68,105
values_595,79,111
values_968,94,112
values_503,35,31
values_378,44,14
values_610,112,126
