inputName,idum
values_77,10
values_260,11
values_891,11
values_91,2
values_137,7
values_42,5
values_13,9
values_577,10
values_41,3
values_809,7
values_414,6
values_360,11
values_386,3
values_158,2
values_904,4
values_480,2
values_647,5
values_104,3
values_55,6
values_491,8
values_391,9
values_972,2
values_571,8
values_940,5
values_861,10
values_324,6
values_549,10
values_170,3
values_269,4
values_442,8
values_520,2
values_455,2
values_31,8
values_971,7
values_397,7
values_254,10
values_616,2
values_66,6
values_943,4
values_117,9
values_451,5
values_643,5
values_688,4
values_569,7
values_745,7
values_65,11
values_980,2
values_982,8
values_62,7
values_789,11
values_401,9
values_21,10
values_598,7
values_273,5
values_534,3
values_118,5
values_141,5
values_366,4
values_222,2
values_876,8
values_700,9
values_95,11
values_806,3
values_671,5
values_816,7
values_630,7
values_433,9
values_905,6
values_84,2
values_233,6
values_664,3
values_162,10
values_681,9
values_542,7
values_169,2
values_660,9
values_488,10
values_894,8
values_828,8
values_537,8
values_845,10
values_584,6
values_457,11
values_499,7
values_369,2
values_58,11
values_64,10
values_196,9
values_462,5
values_343,10
values_262,2
values_966,5
values_261,11
values_349,6
values_263,2
values_801,8
values_292,9
values_786,7
values_101,7
values_691,7
values_926,3
values_754,7
values_215,9
values_977,8
values_850,6
values_646,2
values_628,4
values_941,10
values_353,4
values_690,7
values_961,8
values_331,4
values_377,2
values_128,4
values_336,4
values_632,9
values_166,9
values_744,4
values_837,3
values_807,10
values_838,7
values_723,5
values_874,11
values_627,4
values_555,10
values_446,5
values_716,3
values_240,10
values_140,8
values_317,9
values_83,8
values_696,6
values_413,3
values_94,2
values_937,6
values_199,2
values_596,6
values_0,7
values_953,3
values_906,10
values_742,3
values_396,4
values_159,9
values_238,7
values_136,6
values_915,2
values_99,6
values_771,5
values_96,5
values_768,10
values_67,9
values_565,9
values_848,2
values_114,6
values_61,10
values_511,7
values_729,2
values_460,9
values_832,8
values_348,4
values_182,4
values_986,4
values_180,7
values_930,3
values_274,11
values_309,5
values_496,10
values_165,3
values_553,10
values_870,7
values_795,10
values_361,3
values_302,3
values_586,10
values_880,4
values_665,11
values_527,6
values_372,7
values_382,5
values_43,6
values_935,5
values_2,6
values_790,2
values_152,4
values_871,2
values_434,6
values_775,4
values_500,7
values_220,4
values_875,4
values_249,7
values_808,3
values_859,8
values_539,5
values_635,8
values_311,7
values_183,8
values_54,11
values_390,5
values_890,2
values_711,3
values_471,2
values_995,5
values_443,3
values_464,9
values_774,4
values_200,7
values_747,9
values_758,10
values_30,3
values_820,5
values_393,8
values_576,2
values_445,5
values_662,2
values_403,5
values_640,11
values_59,10
values_490,11
values_194,3
values_751,7
values_663,10
values_938,8
values_532,8
values_885,11
values_713,4
values_193,8
values_650,3
values_564,7
values_267,8
values_147,10
values_709,4
values_857,5
values_334,7
values_965,7
values_824,2
values_784,5
values_229,9
values_538,3
values_463,2
values_741,6
values_85,9
values_493,9
values_794,3
values_202,7
values_74,9
values_410,7
values_469,3
values_394,2
values_149,7
values_945,9
values_293,8
values_456,2
values_975,8
values_547,3
values_164,7
values_720,8
values_833,9
values_90,7
values_954,2
values_483,9
values_990,2
values_113,6
values_878,8
values_942,11
values_126,4
values_666,4
values_960,2
values_783,8
values_735,4
values_439,10
values_860,10
values_18,2
values_173,6
values_454,4
values_176,11
values_698,10
values_869,10
values_697,5
values_509,11
values_189,3
values_714,5
values_270,6
values_863,7
values_548,6
values_359,7
values_512,9
values_656,3
values_684,6
values_171,10
values_675,7
values_657,11
values_333,2
values_599,3
values_129,2
values_886,3
values_107,8
values_272,5
values_52,7
values_819,10
values_682,7
values_44,5
values_914,8
values_346,9
values_151,6
values_550,10
values_326,8
values_836,7
values_437,10
values_984,3
values_17,4
values_748,9
values_581,10
values_705,6
values_121,3
values_219,10
values_321,10
values_843,3
values_606,4
values_898,4
values_601,8
values_36,3
values_282,3
values_395,4
values_449,11
values_209,3
values_956,7
values_579,11
values_484,11
values_521,2
values_617,3
values_516,2
values_358,6
values_335,3
values_139,8
values_992,4
values_211,3
values_507,3
values_921,10
values_138,6
values_275,3
values_614,5
values_49,6
values_227,10
values_203,9
values_172,9
values_86,4
values_178,7
values_978,8
values_253,4
values_291,2
values_911,7
values_230,6
values_318,7
values_798,2
values_638,7
values_112,4
values_201,7
values_629,11
values_337,5
values_37,7
values_56,6
values_316,2
values_829,9
values_63,9
values_35,5
values_519,10
values_481,3
values_278,7
values_186,7
values_702,5
values_722,9
values_97,6
values_329,4
values_75,11
values_560,3
values_612,8
values_421,2
values_639,8
values_939,9
values_198,5
values_840,5
values_415,2
values_405,11
values_100,6
values_726,2
values_265,2
values_743,7
values_436,2
values_583,6
values_525,3
values_677,3
values_289,5
values_255,3
values_529,4
values_826,11
values_362,8
values_355,11
values_506,11
values_315,9
values_604,4
values_57,3
values_133,7
values_787,5
values_799,4
values_765,8
values_887,6
values_952,7
values_631,11
values_306,8
values_497,9
values_821,9
values_618,2
values_271,4
values_645,6
values_985,6
values_400,3
values_562,5
values_590,3
values_648,9
values_325,10
values_883,4
values_827,6
values_854,5
values_307,3
values_88,5
values_958,3
values_251,3
values_902,11
values_680,6
values_884,4
values_901,6
values_354,2
values_420,4
values_103,10
values_10,3
values_474,7
values_53,2
values_8,5
values_39,3
values_755,9
values_124,3
values_841,3
values_510,9
values_989,4
values_706,9
values_257,11
values_811,2
values_111,11
values_47,6
values_928,7
values_561,8
values_383,5
values_498,9
values_60,3
values_737,8
values_624,7
values_973,5
values_472,8
values_280,10
values_389,9
values_651,4
values_642,9
values_668,10
values_551,10
values_750,8
values_592,2
values_89,7
values_411,9
values_620,7
values_357,3
values_247,8
values_692,7
values_572,2
values_757,11
values_566,7
values_216,4
values_951,11
values_910,6
values_338,3
values_461,11
values_730,6
values_734,9
values_51,9
values_678,10
values_327,5
values_473,4
values_453,11
values_154,7
values_452,4
values_221,9
values_323,7
values_844,2
values_673,11
values_427,10
values_933,6
values_802,2
values_852,8
values_487,3
values_762,4
values_515,9
values_479,3
values_948,11
values_467,3
values_14,5
values_868,3
values_188,11
values_489,3
values_865,9
values_728,8
values_996,11
values_277,6
values_936,4
values_554,11
values_763,8
values_834,8
values_613,9
values_907,10
values_825,10
values_308,4
values_294,6
values_522,7
values_322,7
values_28,4
values_760,5
values_559,10
values_685,8
values_908,8
values_919,11
values_724,10
values_947,7
values_214,11
values_468,7
values_967,3
values_234,2
values_983,4
values_719,11
values_110,2
values_235,6
values_588,4
values_185,11
values_732,5
values_896,11
values_888,10
values_923,7
values_767,6
values_179,7
values_195,10
values_148,11
values_917,6
values_634,9
values_157,2
values_314,4
values_879,2
values_16,5
values_839,3
values_150,11
values_835,5
values_161,6
values_34,11
values_959,9
values_264,4
values_123,2
values_623,8
values_187,6
values_575,9
values_466,6
values_621,3
values_82,2
values_352,11
values_779,3
values_946,2
values_756,3
values_502,3
values_641,9
values_882,7
values_46,7
values_721,6
values_105,5
values_284,8
values_295,6
values_423,6
values_544,6
values_384,9
values_206,5
values_817,2
values_788,8
values_205,3
values_243,7
values_619,3
values_514,6
values_703,4
values_605,9
values_659,3
values_929,11
values_365,11
values_495,11
values_431,11
values_482,5
values_611,6
values_846,7
values_27,7
values_736,6
values_815,4
values_145,8
values_582,9
values_492,7
values_881,10
values_237,4
values_409,4
values_108,5
values_299,4
values_20,7
values_485,8
values_303,11
values_425,3
values_597,6
values_517,9
values_672,2
values_340,7
values_339,2
values_424,6
values_9,10
values_587,9
values_417,2
values_116,2
values_475,10
values_184,6
values_223,6
values_804,8
values_374,3
values_864,4
values_444,3
values_92,9
values_773,10
values_131,2
values_710,4
values_693,10
values_944,2
values_573,4
values_712,10
values_718,5
values_3,8
values_805,10
values_98,5
values_304,5
values_897,6
values_153,4
values_368,4
values_689,7
values_830,3
values_29,6
values_301,10
values_286,11
values_580,10
values_593,10
values_80,8
values_416,6
values_305,10
values_142,5
values_800,5
values_661,11
values_73,7
values_297,9
values_167,5
values_594,10
values_367,7
values_552,2
values_608,6
values_797,3
values_288,8
values_764,8
values_622,6
values_785,2
values_676,3
values_330,11
values_595,11
values_968,8
values_503,9
values_378,8
values_610,11
