;DEVICE;BOARD;FUNCTION;DATA_TYPE;inputName;text;data;bss
89;armulator;ARMV4T;banker_algorithm;int8_t;545;1112;212;103
90;armulator;ARMV4T;banker_algorithm;int8_t;78;1076;61;28
91;armulator;ARMV4T;banker_algorithm;int8_t;526;1112;300;147
92;armulator;ARMV4T;banker_algorithm;int8_t;695;1112;668;327
93;armulator;ARMV4T;banker_algorithm;int8_t;87;1112;80;39
94;armulator;ARMV4T;banker_algorithm;int8_t;300;1004;12;7
95;armulator;ARMV4T;banker_algorithm;int8_t;964;1076;469;228
96;armulator;ARMV4T;banker_algorithm;int8_t;998;1140;257;124
97;armulator;ARMV4T;banker_algorithm;int8_t;988;1140;257;124
98;armulator;ARMV4T;banker_algorithm;int8_t;6;1140;257;124
99;armulator;ARMV4T;banker_algorithm;int8_t;625;1112;408;199
100;armulator;ARMV4T;banker_algorithm;int8_t;518;1112;80;39
101;armulator;ARMV4T;banker_algorithm;int8_t;122;1004;12;7
102;armulator;ARMV4T;banker_algorithm;int8_t;541;1076;61;28
103;armulator;ARMV4T;banker_algorithm;int8_t;279;1140;745;364
104;armulator;ARMV4T;banker_algorithm;int8_t;256;1076;25;12
105;armulator;ARMV4T;banker_algorithm;int8_t;796;1076;177;84
106;armulator;ARMV4T;banker_algorithm;int8_t;504;1004;36;19
107;armulator;ARMV4T;banker_algorithm;int8_t;752;1112;80;39
108;armulator;ARMV4T;banker_algorithm;int8_t;459;1076;601;292
109;armulator;ARMV4T;banker_algorithm;int8_t;658;1140;357;172
110;armulator;ARMV4T;banker_algorithm;int8_t;408;1076;61;28
111;armulator;ARMV4T;banker_algorithm;int8_t;867;1112;408;199
112;armulator;ARMV4T;banker_algorithm;int8_t;727;1140;745;364
113;armulator;ARMV4T;banker_algorithm;int8_t;177;1140;745;364
114;armulator;ARMV4T;banker_algorithm;int8_t;823;1112;820;403
115;armulator;ARMV4T;banker_algorithm;int8_t;822;1004;12;7
116;armulator;ARMV4T;banker_algorithm;int8_t;218;1112;80;39
117;armulator;ARMV4T;banker_algorithm;int8_t;426;1112;408;199
118;armulator;ARMV4T;banker_algorithm;int8_t;776;1004;12;7
119;armulator;ARMV4T;banker_algorithm;int8_t;143;1076;109;52
120;armulator;ARMV4T;banker_algorithm;int8_t;739;1076;601;292
121;armulator;ARMV4T;banker_algorithm;int8_t;312;1076;469;228
122;armulator;ARMV4T;banker_algorithm;int8_t;174;1076;601;292
123;armulator;ARMV4T;banker_algorithm;int8_t;669;1004;36;19
124;armulator;ARMV4T;banker_algorithm;int8_t;120;1140;357;172
125;armulator;ARMV4T;banker_algorithm;int8_t;974;1076;469;228
126;armulator;ARMV4T;banker_algorithm;int8_t;217;1076;25;12
127;armulator;ARMV4T;banker_algorithm;int8_t;866;1076;25;12
128;armulator;ARMV4T;banker_algorithm;int8_t;192;1076;109;52
129;armulator;ARMV4T;banker_algorithm;int8_t;328;1112;668;327
130;armulator;ARMV4T;banker_algorithm;int8_t;68;1140;257;124
131;armulator;ARMV4T;banker_algorithm;int8_t;387;1112;668;327
132;armulator;ARMV4T;banker_algorithm;int8_t;69;1004;36;19
133;armulator;ARMV4T;banker_algorithm;int8_t;749;1076;109;52
134;armulator;ARMV4T;banker_algorithm;int8_t;135;1140;745;364
135;armulator;ARMV4T;banker_algorithm;int8_t;341;1004;528;259
136;armulator;ARMV4T;banker_algorithm;int8_t;494;1076;601;292
137;armulator;ARMV4T;banker_algorithm;int8_t;1;1004;136;67
138;armulator;ARMV4T;banker_algorithm;int8_t;589;1076;61;28
139;armulator;ARMV4T;banker_algorithm;int8_t;925;1140;257;124
140;armulator;ARMV4T;banker_algorithm;int8_t;524;1004;36;19
141;armulator;ARMV4T;banker_algorithm;int8_t;994;1004;136;67
142;armulator;ARMV4T;banker_algorithm;int8_t;856;1076;177;84
143;armulator;ARMV4T;banker_algorithm;int8_t;156;1112;820;403
144;armulator;ARMV4T;banker_algorithm;int8_t;470;1076;25;12
145;armulator;ARMV4T;banker_algorithm;int8_t;207;1076;25;12
146;armulator;ARMV4T;banker_algorithm;int8_t;655;1004;528;259
147;armulator;ARMV4T;banker_algorithm;int8_t;441;1112;212;103
148;armulator;ARMV4T;banker_algorithm;int8_t;109;1112;668;327
149;armulator;ARMV4T;banker_algorithm;int8_t;45;1004;528;259
150;armulator;ARMV4T;banker_algorithm;int8_t;125;1140;745;364
151;armulator;ARMV4T;banker_algorithm;int8_t;600;1140;745;364
152;armulator;ARMV4T;banker_algorithm;int8_t;708;1112;80;39
153;armulator;ARMV4T;banker_algorithm;int8_t;791;1076;61;28
154;armulator;ARMV4T;banker_algorithm;int8_t;912;1004;12;7
155;armulator;ARMV4T;banker_algorithm;int8_t;533;1076;177;84
156;armulator;ARMV4T;banker_algorithm;int8_t;418;1112;212;103
157;armulator;ARMV4T;banker_algorithm;int8_t;228;1076;469;228
158;armulator;ARMV4T;banker_algorithm;int8_t;585;1140;257;124
159;armulator;ARMV4T;banker_algorithm;int8_t;465;1004;12;7
160;armulator;ARMV4T;banker_algorithm;int8_t;239;1112;300;147
161;armulator;ARMV4T;banker_algorithm;int8_t;842;1076;177;84
162;armulator;ARMV4T;banker_algorithm;int8_t;208;1112;408;199
163;armulator;ARMV4T;banker_algorithm;int8_t;932;1076;469;228
164;armulator;ARMV4T;banker_algorithm;int8_t;957;1112;408;199
165;armulator;ARMV4T;banker_algorithm;int8_t;563;1004;12;7
166;armulator;ARMV4T;banker_algorithm;int8_t;766;1076;177;84
167;armulator;ARMV4T;banker_algorithm;int8_t;476;1112;212;103
168;armulator;ARMV4T;banker_algorithm;int8_t;175;1076;109;52
169;armulator;ARMV4T;banker_algorithm;int8_t;591;1004;528;259
170;armulator;ARMV4T;banker_algorithm;int8_t;997;1004;36;19
171;armulator;ARMV4T;banker_algorithm;int8_t;385;1112;212;103
172;armulator;ARMV4T;banker_algorithm;int8_t;115;1076;177;84
173;armulator;ARMV4T;banker_algorithm;int8_t;653;1076;601;292
174;armulator;ARMV4T;banker_algorithm;int8_t;753;1004;12;7
175;armulator;ARMV4T;banker_algorithm;int8_t;241;1140;745;364
176;armulator;ARMV4T;banker_algorithm;int8_t;197;1004;136;67
177;armulator;ARMV4T;banker_algorithm;int8_t;636;1112;300;147
178;armulator;ARMV4T;banker_algorithm;int8_t;450;1140;257;124
179;armulator;ARMV4T;banker_algorithm;int8_t;106;1004;136;67
180;armulator;ARMV4T;banker_algorithm;int8_t;699;1076;601;292
181;armulator;ARMV4T;banker_algorithm;int8_t;578;1076;25;12
182;armulator;ARMV4T;banker_algorithm;int8_t;644;1112;300;147
183;armulator;ARMV4T;banker_algorithm;int8_t;570;1076;601;292
184;armulator;ARMV4T;banker_algorithm;int8_t;873;1112;212;103
185;armulator;ARMV4T;banker_algorithm;int8_t;33;1076;61;28
186;armulator;ARMV4T;banker_algorithm;int8_t;210;1140;745;364
187;armulator;ARMV4T;banker_algorithm;int8_t;486;1140;357;172
188;armulator;ARMV4T;banker_algorithm;int8_t;252;1140;257;124
189;armulator;ARMV4T;banker_algorithm;int8_t;694;1076;469;228
190;armulator;ARMV4T;banker_algorithm;int8_t;759;1112;408;199
191;armulator;ARMV4T;banker_algorithm;int8_t;245;1112;212;103
192;armulator;ARMV4T;banker_algorithm;int8_t;15;1112;212;103
193;armulator;ARMV4T;banker_algorithm;int8_t;792;1076;601;292
194;armulator;ARMV4T;banker_algorithm;int8_t;248;1112;300;147
195;armulator;ARMV4T;banker_algorithm;int8_t;246;1076;177;84
196;armulator;ARMV4T;banker_algorithm;int8_t;556;1076;601;292
197;armulator;ARMV4T;banker_algorithm;int8_t;513;1076;25;12
198;armulator;ARMV4T;banker_algorithm;int8_t;93;1140;745;364
199;armulator;ARMV4T;banker_algorithm;int8_t;558;1112;820;403
200;armulator;ARMV4T;banker_algorithm;int8_t;991;1004;12;7
201;armulator;ARMV4T;banker_algorithm;int8_t;181;1004;136;67
202;armulator;ARMV4T;banker_algorithm;int8_t;674;1004;528;259
203;armulator;ARMV4T;banker_algorithm;int8_t;652;1004;136;67
204;armulator;ARMV4T;banker_algorithm;int8_t;344;1112;668;327
205;armulator;ARMV4T;banker_algorithm;int8_t;715;1112;80;39
206;armulator;ARMV4T;banker_algorithm;int8_t;528;1112;212;103
207;armulator;ARMV4T;banker_algorithm;int8_t;276;1076;601;292
208;armulator;ARMV4T;banker_algorithm;int8_t;24;1076;601;292
209;armulator;ARMV4T;banker_algorithm;int8_t;296;1112;668;327
210;armulator;ARMV4T;banker_algorithm;int8_t;244;1076;177;84
211;armulator;ARMV4T;banker_algorithm;int8_t;380;1004;136;67
212;armulator;ARMV4T;banker_algorithm;int8_t;25;1004;136;67
213;armulator;ARMV4T;banker_algorithm;int8_t;740;1112;80;39
214;armulator;ARMV4T;banker_algorithm;int8_t;478;1076;61;28
215;armulator;ARMV4T;banker_algorithm;int8_t;379;1112;80;39
216;armulator;ARMV4T;banker_algorithm;int8_t;810;1076;109;52
217;armulator;ARMV4T;banker_algorithm;int8_t;440;1112;80;39
218;armulator;ARMV4T;banker_algorithm;int8_t;543;1076;469;228
219;armulator;ARMV4T;banker_algorithm;int8_t;130;1076;177;84
220;armulator;ARMV4T;banker_algorithm;int8_t;225;1004;528;259
221;armulator;ARMV4T;banker_algorithm;int8_t;285;1004;12;7
222;armulator;ARMV4T;banker_algorithm;int8_t;363;1076;177;84
223;armulator;ARMV4T;banker_algorithm;int8_t;667;1140;745;364
224;armulator;ARMV4T;banker_algorithm;int8_t;26;1076;25;12
225;armulator;ARMV4T;banker_algorithm;int8_t;793;1076;469;228
226;armulator;ARMV4T;banker_algorithm;int8_t;772;1004;528;259
227;armulator;ARMV4T;banker_algorithm;int8_t;931;1112;408;199
228;armulator;ARMV4T;banker_algorithm;int8_t;981;1076;601;292
229;armulator;ARMV4T;banker_algorithm;int8_t;422;1112;80;39
230;armulator;ARMV4T;banker_algorithm;int8_t;920;1140;357;172
231;armulator;ARMV4T;banker_algorithm;int8_t;259;1004;36;19
232;armulator;ARMV4T;banker_algorithm;int8_t;477;1076;25;12
233;armulator;ARMV4T;banker_algorithm;int8_t;738;1076;25;12
234;armulator;ARMV4T;banker_algorithm;int8_t;430;1076;61;28
235;armulator;ARMV4T;banker_algorithm;int8_t;922;1076;109;52
236;armulator;ARMV4T;banker_algorithm;int8_t;903;1076;469;228
237;armulator;ARMV4T;banker_algorithm;int8_t;761;1112;212;103
238;armulator;ARMV4T;banker_algorithm;int8_t;204;1112;80;39
239;armulator;ARMV4T;banker_algorithm;int8_t;48;1076;469;228
240;armulator;ARMV4T;banker_algorithm;int8_t;71;1076;177;84
241;armulator;ARMV4T;banker_algorithm;int8_t;851;1004;36;19
242;armulator;ARMV4T;banker_algorithm;int8_t;347;1112;80;39
243;armulator;ARMV4T;banker_algorithm;int8_t;725;1004;136;67
244;armulator;ARMV4T;banker_algorithm;int8_t;266;1076;177;84
245;armulator;ARMV4T;banker_algorithm;int8_t;448;1076;469;228
246;armulator;ARMV4T;banker_algorithm;int8_t;934;1112;668;327
247;armulator;ARMV4T;banker_algorithm;int8_t;531;1076;601;292
248;armulator;ARMV4T;banker_algorithm;int8_t;224;1140;257;124
249;armulator;ARMV4T;banker_algorithm;int8_t;686;1140;745;364
250;armulator;ARMV4T;banker_algorithm;int8_t;927;1140;357;172
251;armulator;ARMV4T;banker_algorithm;int8_t;407;1112;668;327
252;armulator;ARMV4T;banker_algorithm;int8_t;76;1076;469;228
253;armulator;ARMV4T;banker_algorithm;int8_t;949;1112;820;403
254;armulator;ARMV4T;banker_algorithm;int8_t;969;1076;177;84
255;armulator;ARMV4T;banker_algorithm;int8_t;781;1112;668;327
256;armulator;ARMV4T;banker_algorithm;int8_t;7;1004;12;7
257;armulator;ARMV4T;banker_algorithm;int8_t;683;1076;177;84
258;armulator;ARMV4T;banker_algorithm;int8_t;376;1076;25;12
259;armulator;ARMV4T;banker_algorithm;int8_t;877;1112;212;103
260;armulator;ARMV4T;banker_algorithm;int8_t;654;1004;36;19
261;armulator;ARMV4T;banker_algorithm;int8_t;508;1076;177;84
262;armulator;ARMV4T;banker_algorithm;int8_t;332;1112;820;403
263;armulator;ARMV4T;banker_algorithm;int8_t;281;1076;469;228
264;armulator;ARMV4T;banker_algorithm;int8_t;381;1112;212;103
265;armulator;ARMV4T;banker_algorithm;int8_t;769;1076;61;28
266;armulator;ARMV4T;banker_algorithm;int8_t;701;1112;300;147
267;armulator;ARMV4T;banker_algorithm;int8_t;855;1004;136;67
268;armulator;ARMV4T;banker_algorithm;int8_t;320;1076;177;84
269;armulator;ARMV4T;banker_algorithm;int8_t;50;1140;745;364
270;armulator;ARMV4T;banker_algorithm;int8_t;918;1112;668;327
271;armulator;ARMV4T;banker_algorithm;int8_t;615;1112;300;147
272;armulator;ARMV4T;banker_algorithm;int8_t;704;1112;300;147
273;armulator;ARMV4T;banker_algorithm;int8_t;633;1112;300;147
274;armulator;ARMV4T;banker_algorithm;int8_t;847;1004;36;19
275;armulator;ARMV4T;banker_algorithm;int8_t;602;1112;80;39
276;armulator;ARMV4T;banker_algorithm;int8_t;399;1112;668;327
277;armulator;ARMV4T;banker_algorithm;int8_t;22;1112;300;147
278;armulator;ARMV4T;banker_algorithm;int8_t;313;1112;408;199
279;armulator;ARMV4T;banker_algorithm;int8_t;375;1076;601;292
280;armulator;ARMV4T;banker_algorithm;int8_t;963;1112;408;199
281;armulator;ARMV4T;banker_algorithm;int8_t;168;1140;257;124
282;armulator;ARMV4T;banker_algorithm;int8_t;226;1004;528;259
283;armulator;ARMV4T;banker_algorithm;int8_t;190;1140;257;124
284;armulator;ARMV4T;banker_algorithm;int8_t;429;1004;12;7
285;armulator;ARMV4T;banker_algorithm;int8_t;236;1004;36;19
286;armulator;ARMV4T;banker_algorithm;int8_t;777;1004;136;67
287;armulator;ARMV4T;banker_algorithm;int8_t;909;1076;109;52
288;armulator;ARMV4T;banker_algorithm;int8_t;438;1004;12;7
289;armulator;ARMV4T;banker_algorithm;int8_t;607;1004;528;259
290;armulator;ARMV4T;banker_algorithm;int8_t;717;1076;61;28
291;armulator;ARMV4T;banker_algorithm;int8_t;782;1112;80;39
292;armulator;ARMV4T;banker_algorithm;int8_t;258;1112;80;39
293;armulator;ARMV4T;banker_algorithm;int8_t;872;1140;745;364
294;armulator;ARMV4T;banker_algorithm;int8_t;637;1140;357;172
295;armulator;ARMV4T;banker_algorithm;int8_t;746;1004;136;67
296;armulator;ARMV4T;banker_algorithm;int8_t;4;1076;177;84
297;armulator;ARMV4T;banker_algorithm;int8_t;345;1140;257;124
298;armulator;ARMV4T;banker_algorithm;int8_t;102;1140;257;124
299;armulator;ARMV4T;banker_algorithm;int8_t;962;1004;12;7
300;armulator;ARMV4T;banker_algorithm;int8_t;356;1112;668;327
301;armulator;ARMV4T;banker_algorithm;int8_t;853;1004;12;7
302;armulator;ARMV4T;banker_algorithm;int8_t;849;1112;80;39
303;armulator;ARMV4T;banker_algorithm;int8_t;814;1076;109;52
304;armulator;ARMV4T;banker_algorithm;int8_t;370;1004;528;259
305;armulator;ARMV4T;banker_algorithm;int8_t;778;1076;25;12
306;armulator;ARMV4T;banker_algorithm;int8_t;458;1076;61;28
307;armulator;ARMV4T;banker_algorithm;int8_t;818;1076;61;28
308;armulator;ARMV4T;banker_algorithm;int8_t;119;1076;61;28
309;armulator;ARMV4T;banker_algorithm;int8_t;373;1112;212;103
310;armulator;ARMV4T;banker_algorithm;int8_t;351;1004;36;19
311;armulator;ARMV4T;banker_algorithm;int8_t;32;1076;61;28
312;armulator;ARMV4T;banker_algorithm;int8_t;770;1140;357;172
313;armulator;ARMV4T;banker_algorithm;int8_t;371;1076;109;52
314;armulator;ARMV4T;banker_algorithm;int8_t;283;1112;668;327
315;armulator;ARMV4T;banker_algorithm;int8_t;535;1004;36;19
316;armulator;ARMV4T;banker_algorithm;int8_t;250;1076;601;292
317;armulator;ARMV4T;banker_algorithm;int8_t;132;1112;820;403
318;armulator;ARMV4T;banker_algorithm;int8_t;649;1112;212;103
319;armulator;ARMV4T;banker_algorithm;int8_t;77;1004;136;67
320;armulator;ARMV4T;banker_algorithm;int8_t;260;1112;80;39
321;armulator;ARMV4T;banker_algorithm;int8_t;891;1076;25;12
322;armulator;ARMV4T;banker_algorithm;int8_t;91;1140;257;124
323;armulator;ARMV4T;banker_algorithm;int8_t;137;1112;820;403
324;armulator;ARMV4T;banker_algorithm;int8_t;42;1140;257;124
325;armulator;ARMV4T;banker_algorithm;int8_t;13;1140;357;172
326;armulator;ARMV4T;banker_algorithm;int8_t;577;1112;820;403
327;armulator;ARMV4T;banker_algorithm;int8_t;41;1076;109;52
328;armulator;ARMV4T;banker_algorithm;int8_t;809;1112;300;147
329;armulator;ARMV4T;banker_algorithm;int8_t;414;1112;668;327
330;armulator;ARMV4T;banker_algorithm;int8_t;360;1112;300;147
331;armulator;ARMV4T;banker_algorithm;int8_t;386;1112;212;103
332;armulator;ARMV4T;banker_algorithm;int8_t;158;1112;668;327
333;armulator;ARMV4T;banker_algorithm;int8_t;904;1004;12;7
334;armulator;ARMV4T;banker_algorithm;int8_t;480;1076;601;292
335;armulator;ARMV4T;banker_algorithm;int8_t;647;1076;61;28
336;armulator;ARMV4T;banker_algorithm;int8_t;104;1076;109;52
337;armulator;ARMV4T;banker_algorithm;int8_t;55;1112;408;199
338;armulator;ARMV4T;banker_algorithm;int8_t;491;1140;745;364
339;armulator;ARMV4T;banker_algorithm;int8_t;391;1004;528;259
340;armulator;ARMV4T;banker_algorithm;int8_t;972;1140;745;364
341;armulator;ARMV4T;banker_algorithm;int8_t;571;1112;80;39
342;armulator;ARMV4T;banker_algorithm;int8_t;940;1112;80;39
343;armulator;ARMV4T;banker_algorithm;int8_t;861;1076;61;28
344;armulator;ARMV4T;banker_algorithm;int8_t;324;1112;408;199
345;armulator;ARMV4T;banker_algorithm;int8_t;549;1076;109;52
346;armulator;ARMV4T;banker_algorithm;int8_t;170;1112;820;403
347;armulator;ARMV4T;banker_algorithm;int8_t;269;1112;212;103
348;armulator;ARMV4T;banker_algorithm;int8_t;442;1076;469;228
349;armulator;ARMV4T;banker_algorithm;int8_t;520;1140;745;364
350;armulator;ARMV4T;banker_algorithm;int8_t;455;1140;745;364
351;armulator;ARMV4T;banker_algorithm;int8_t;31;1004;528;259
352;armulator;ARMV4T;banker_algorithm;int8_t;971;1112;80;39
353;armulator;ARMV4T;banker_algorithm;int8_t;397;1076;601;292
354;armulator;ARMV4T;banker_algorithm;int8_t;254;1140;357;172
355;armulator;ARMV4T;banker_algorithm;int8_t;616;1140;257;124
356;armulator;ARMV4T;banker_algorithm;int8_t;66;1004;136;67
357;armulator;ARMV4T;banker_algorithm;int8_t;943;1076;601;292
358;armulator;ARMV4T;banker_algorithm;int8_t;117;1140;257;124
359;armulator;ARMV4T;banker_algorithm;int8_t;451;1112;820;403
360;armulator;ARMV4T;banker_algorithm;int8_t;643;1076;61;28
361;armulator;ARMV4T;banker_algorithm;int8_t;688;1112;80;39
362;armulator;ARMV4T;banker_algorithm;int8_t;569;1112;212;103
363;armulator;ARMV4T;banker_algorithm;int8_t;745;1140;745;364
364;armulator;ARMV4T;banker_algorithm;int8_t;65;1076;601;292
365;armulator;ARMV4T;banker_algorithm;int8_t;980;1004;136;67
366;armulator;ARMV4T;banker_algorithm;int8_t;982;1140;357;172
367;armulator;ARMV4T;banker_algorithm;int8_t;62;1076;25;12
368;armulator;ARMV4T;banker_algorithm;int8_t;789;1140;357;172
369;armulator;ARMV4T;banker_algorithm;int8_t;401;1140;357;172
370;armulator;ARMV4T;banker_algorithm;int8_t;21;1076;61;28
371;armulator;ARMV4T;banker_algorithm;int8_t;598;1076;177;84
372;armulator;ARMV4T;banker_algorithm;int8_t;273;1140;357;172
373;armulator;ARMV4T;banker_algorithm;int8_t;534;1076;601;292
374;armulator;ARMV4T;banker_algorithm;int8_t;118;1076;61;28
375;armulator;ARMV4T;banker_algorithm;int8_t;141;1112;668;327
376;armulator;ARMV4T;banker_algorithm;int8_t;366;1004;528;259
377;armulator;ARMV4T;banker_algorithm;int8_t;222;1076;177;84
378;armulator;ARMV4T;banker_algorithm;int8_t;876;1004;12;7
379;armulator;ARMV4T;banker_algorithm;int8_t;700;1076;109;52
380;armulator;ARMV4T;banker_algorithm;int8_t;95;1140;745;364
381;armulator;ARMV4T;banker_algorithm;int8_t;806;1076;109;52
382;armulator;ARMV4T;banker_algorithm;int8_t;671;1140;357;172
383;armulator;ARMV4T;banker_algorithm;int8_t;816;1112;820;403
384;armulator;ARMV4T;banker_algorithm;int8_t;630;1004;36;19
385;armulator;ARMV4T;banker_algorithm;int8_t;433;1076;109;52
386;armulator;ARMV4T;banker_algorithm;int8_t;905;1076;601;292
387;armulator;ARMV4T;banker_algorithm;int8_t;84;1004;136;67
388;armulator;ARMV4T;banker_algorithm;int8_t;233;1112;300;147
389;armulator;ARMV4T;banker_algorithm;int8_t;664;1112;820;403
390;armulator;ARMV4T;banker_algorithm;int8_t;162;1076;601;292
391;armulator;ARMV4T;banker_algorithm;int8_t;681;1076;177;84
392;armulator;ARMV4T;banker_algorithm;int8_t;542;1004;136;67
393;armulator;ARMV4T;banker_algorithm;int8_t;169;1076;469;228
394;armulator;ARMV4T;banker_algorithm;int8_t;660;1140;357;172
395;armulator;ARMV4T;banker_algorithm;int8_t;488;1112;80;39
396;armulator;ARMV4T;banker_algorithm;int8_t;894;1140;257;124
