;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;BugsDelivered;DifficultyLevel;DistinctOperands;DistinctOperators;Effort;ProgramLength;ProgramLevel;ProgramVolume;TimeToImplement;Total_Operands;VocabularySize;Sloc;DecisionPoint;GlobalVariables;If;Loop;Goto;Assignment;ExitPoint;Function;FunctionCall;PointerDereferencing;CyclomaticComplexity;SyntacticallyReachableFunctions;SemanticallyReachedFunctions;CoverageEstimation;SCALAR_INPUT;RANGE_SCALAR_VALUES;SCALAR_INDEX_INPUT;RANGE_SCALAR_INDEX_VALUES;ARRAY_INPUT;RANGE_ARRAY_INPUT;cInstr;assemblyInstr;clockCycles;CC4CS
30106;thumbulator;ARMV6-M;banker_algorithm;int8_t;134;9.67122;94.2;268.0;30.0;2733022.28;3530.0;0.01;29013.66;151834.57;1683.0;298.0;38.0;16.0;56.0;110.0;21.0;25.0;107.0;30.0;39.0;127.0;82.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;1635;218066.0;293264.0;179.36636085626913
30107;thumbulator;ARMV6-M;banker_algorithm;int8_t;609;3.3281133333333335;35.54;233.0;30.0;354808.21;1242.0;0.03;9984.34;19711.57;552.0;263.0;38.0;16.0;83.0;25.0;97.0;123.0;67.0;62.0;114.0;39.0;26.0;67.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;491;60990.0;82758.0;168.54989816700612
30108;thumbulator;ARMV6-M;banker_algorithm;int8_t;993;4.06785;41.76;245.0;30.0;509560.54;1506.0;0.02;12203.55;28308.92;682.0;275.0;38.0;16.0;78.0;121.0;116.0;65.0;54.0;61.0;31.0;54.0;41.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;623;78196.0;106094.0;170.29534510433388
30109;thumbulator;ARMV6-M;banker_algorithm;int8_t;731;3.3438;34.5;240.0;30.0;346083.47;1242.0;0.03;10031.4;19226.86;552.0;270.0;38.0;16.0;56.0;88.0;90.0;111.0;71.0;23.0;109.0;113.0;10.0;11.0;13.0;14.0;108.0;0.0;0.0;2.0;0.0;3.0;0.0;491;60990.0;82758.0;168.54989816700612
30110;thumbulator;ARMV6-M;banker_algorithm;int8_t;127;0.8843866666666667;31.79;67.0;30.0;84346.89;402.0;0.03;2653.16;4685.94;142.0;97.0;38.0;16.0;45.0;101.0;44.0;28.0;118.0;30.0;106.0;95.0;120.0;61.0;124.0;34.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;88;7000.0;9518.0;108.1590909090909
30111;thumbulator;ARMV6-M;banker_algorithm;int8_t;889;2.97269;34.08;217.0;30.0;303912.96;1122.0;0.03;8918.07;16884.05;493.0;247.0;38.0;16.0;26.0;13.0;72.0;52.0;94.0;109.0;30.0;113.0;71.0;10.0;12.0;13.0;37.0;0.0;0.0;2.0;0.0;3.0;0.0;431;54952.0;73940.0;171.55452436194895
30112;thumbulator;ARMV6-M;banker_algorithm;int8_t;987;9.068156666666667;87.33;270.0;30.0;2375857.45;3306.0;0.01;27204.47;131992.08;1572.0;300.0;38.0;16.0;99.0;18.0;44.0;91.0;118.0;105.0;67.0;47.0;28.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;1523;209388.0;279336.0;183.41168745896258
30113;thumbulator;ARMV6-M;banker_algorithm;int8_t;780;9.06285;87.66;269.0;30.0;2383293.67;3306.0;0.01;27188.55;132405.2;1572.0;299.0;38.0;16.0;44.0;107.0;95.0;126.0;77.0;97.0;85.0;90.0;28.0;34.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;1523;209388.0;279336.0;183.41168745896258
30114;thumbulator;ARMV6-M;banker_algorithm;int8_t;435;1.3716433333333333;28.11;119.0;30.0;115667.46;570.0;0.04;4114.93;6425.97;223.0;149.0;38.0;16.0;123.0;35.0;85.0;35.0;37.0;96.0;121.0;94.0;47.0;91.0;73.0;87.0;18.0;0.0;0.0;2.0;0.0;3.0;0.0;172;16438.0;22736.0;132.1860465116279
30115;thumbulator;ARMV6-M;banker_algorithm;int8_t;950;2.3558733333333333;30.08;193.0;30.0;212577.76;906.0;0.03;7067.62;11809.88;387.0;223.0;38.0;16.0;67.0;91.0;20.0;13.0;28.0;82.0;19.0;54.0;17.0;10.0;26.0;31.0;23.0;0.0;0.0;2.0;0.0;3.0;0.0;332;40482.0;54480.0;164.09638554216866
30116;thumbulator;ARMV6-M;banker_algorithm;int8_t;976;4.89528;48.9;254.0;30.0;718103.1;1802.0;0.02;14685.84;39894.62;828.0;284.0;38.0;16.0;67.0;114.0;14.0;30.0;24.0;69.0;100.0;22.0;10.0;11.0;13.0;14.0;15.0;0.0;0.0;2.0;0.0;3.0;0.0;796;103314.0;138102.0;173.49497487437185
30117;thumbulator;ARMV6-M;banker_algorithm;int8_t;557;2.98564;33.16;223.0;30.0;297024.28;1122.0;0.03;8956.92;16501.35;493.0;253.0;38.0;16.0;56.0;102.0;16.0;23.0;113.0;55.0;109.0;125.0;10.0;11.0;13.0;50.0;60.0;0.0;0.0;2.0;0.0;3.0;0.0;431;54952.0;73940.0;171.55452436194895
30118;thumbulator;ARMV6-M;banker_algorithm;int8_t;398;1.59279;26.88;144.0;30.0;128418.69;642.0;0.04;4778.37;7134.37;258.0;174.0;38.0;16.0;22.0;14.0;105.0;106.0;79.0;54.0;126.0;31.0;77.0;84.0;126.0;24.0;104.0;0.0;0.0;2.0;0.0;3.0;0.0;191;22188.0;30126.0;157.72774869109946
30119;thumbulator;ARMV6-M;banker_algorithm;int8_t;892;2.34997;30.55;190.0;30.0;215393.36;906.0;0.03;7049.91;11966.3;387.0;220.0;38.0;16.0;40.0;127.0;51.0;47.0;115.0;123.0;104.0;65.0;14.0;10.0;65.0;10.0;36.0;0.0;0.0;2.0;0.0;3.0;0.0;332;40482.0;54480.0;164.09638554216866
30120;thumbulator;ARMV6-M;banker_algorithm;int8_t;670;7.886546666666667;76.8;266.0;30.0;1817167.44;2882.0;0.01;23659.64;100953.75;1362.0;296.0;38.0;16.0;118.0;53.0;37.0;21.0;100.0;75.0;43.0;45.0;10.0;11.0;13.0;14.0;15.0;0.0;0.0;2.0;0.0;3.0;0.0;1311;179630.0;239648.0;182.79786422578184
30121;thumbulator;ARMV6-M;banker_algorithm;int8_t;574;0.8762466666666666;33.81;63.0;30.0;88876.51;402.0;0.03;2628.74;4937.58;142.0;93.0;38.0;16.0;61.0;80.0;121.0;77.0;83.0;102.0;75.0;94.0;31.0;89.0;122.0;21.0;50.0;0.0;0.0;2.0;0.0;3.0;0.0;71;7000.0;9518.0;134.05633802816902
30122;thumbulator;ARMV6-M;banker_algorithm;int8_t;163;2.65176;32.05;205.0;30.0;254957.09;1010.0;0.03;7955.28;14164.28;438.0;235.0;38.0;16.0;114.0;83.0;81.0;10.0;67.0;68.0;106.0;43.0;20.0;24.0;11.0;12.0;20.0;0.0;0.0;2.0;0.0;3.0;0.0;375;48624.0;65022.0;173.392
30123;thumbulator;ARMV6-M;banker_algorithm;int8_t;900;1.1881533333333334;28.24;102.0;30.0;100643.67;506.0;0.04;3564.46;5591.32;192.0;132.0;38.0;16.0;67.0;108.0;25.0;13.0;124.0;67.0;76.0;115.0;20.0;25.0;27.0;72.0;33.0;0.0;0.0;2.0;0.0;3.0;0.0;123;13526.0;18374.0;149.3821138211382
30124;thumbulator;ARMV6-M;banker_algorithm;int8_t;392;3.3096633333333334;36.8;225.0;30.0;365386.72;1242.0;0.03;9928.99;20299.26;552.0;255.0;38.0;16.0;20.0;11.0;41.0;72.0;120.0;90.0;115.0;85.0;68.0;116.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;500;60990.0;82758.0;165.516
30125;thumbulator;ARMV6-M;banker_algorithm;int8_t;447;2.06964;29.48;173.0;30.0;183037.59;810.0;0.03;6208.92;10168.75;340.0;203.0;38.0;16.0;92.0;105.0;27.0;83.0;43.0;120.0;80.0;59.0;10.0;113.0;44.0;57.0;124.0;0.0;0.0;2.0;0.0;3.0;0.0;284;34922.0;46710.0;164.4718309859155
30126;thumbulator;ARMV6-M;banker_algorithm;int8_t;523;0.66727;43.78;37.0;30.0;87646.79;330.0;0.02;2001.81;4869.27;108.0;67.0;38.0;16.0;45.0;79.0;97.0;87.0;81.0;18.0;63.0;74.0;94.0;57.0;102.0;75.0;64.0;0.0;0.0;2.0;0.0;3.0;0.0;35;2610.0;3558.0;101.65714285714286
30127;thumbulator;ARMV6-M;banker_algorithm;int8_t;679;0.66962;42.63;38.0;30.0;85640.99;330.0;0.02;2008.86;4757.83;108.0;68.0;38.0;16.0;113.0;75.0;14.0;119.0;31.0;63.0;70.0;59.0;125.0;98.0;50.0;127.0;89.0;0.0;0.0;2.0;0.0;3.0;0.0;105;2610.0;3558.0;33.885714285714286
30128;thumbulator;ARMV6-M;banker_algorithm;int8_t;419;2.071553333333333;29.31;174.0;30.0;182153.96;810.0;0.03;6214.66;10119.66;340.0;204.0;38.0;16.0;98.0;99.0;21.0;108.0;123.0;89.0;20.0;97.0;23.0;123.0;94.0;90.0;124.0;0.0;0.0;2.0;0.0;3.0;0.0;300;34922.0;46710.0;155.7
30129;thumbulator;ARMV6-M;banker_algorithm;int8_t;895;5.81126;56.9;261.0;30.0;991922.22;2130.0;0.02;17433.78;55106.79;990.0;291.0;38.0;16.0;127.0;10.0;85.0;63.0;74.0;110.0;69.0;92.0;45.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;944;126954.0;169393.0;179.44173728813558
30130;thumbulator;ARMV6-M;banker_algorithm;int8_t;298;1.1936233333333333;27.43;105.0;30.0;98218.11;506.0;0.04;3580.87;5456.56;192.0;135.0;38.0;16.0;65.0;29.0;22.0;56.0;87.0;14.0;34.0;70.0;74.0;50.0;21.0;31.0;67.0;0.0;0.0;2.0;0.0;3.0;0.0;123;13526.0;18374.0;149.3821138211382
30131;thumbulator;ARMV6-M;banker_algorithm;int8_t;155;9.682576666666666;93.5;270.0;30.0;2715962.75;3530.0;0.01;29047.73;150886.82;1683.0;300.0;38.0;16.0;41.0;107.0;84.0;59.0;64.0;95.0;30.0;77.0;101.0;53.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;1635;218066.0;293264.0;179.36636085626913
30132;thumbulator;ARMV6-M;banker_algorithm;int8_t;12;4.05456;42.62;240.0;30.0;518477.04;1506.0;0.02;12163.68;28804.28;682.0;270.0;38.0;16.0;16.0;108.0;72.0;97.0;122.0;94.0;11.0;20.0;112.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;623;78196.0;106094.0;170.29534510433388
30133;thumbulator;ARMV6-M;banker_algorithm;int8_t;160;1.3752966666666668;27.64;121.0;30.0;114058.71;570.0;0.04;4125.89;6336.6;223.0;151.0;38.0;16.0;62.0;39.0;50.0;111.0;35.0;52.0;19.0;61.0;106.0;108.0;78.0;127.0;115.0;0.0;0.0;2.0;0.0;3.0;0.0;155;16438.0;22736.0;146.68387096774194
30134;thumbulator;ARMV6-M;banker_algorithm;int8_t;626;4.916383333333333;47.59;261.0;30.0;701855.88;1802.0;0.02;14749.15;38991.99;828.0;291.0;38.0;16.0;51.0;64.0;126.0;97.0;106.0;72.0;66.0;10.0;11.0;12.0;14.0;15.0;16.0;0.0;0.0;2.0;0.0;3.0;0.0;771;103314.0;138102.0;179.12062256809338
30135;thumbulator;ARMV6-M;banker_algorithm;int8_t;38;2.6392;33.02;199.0;30.0;261400.02;1010.0;0.03;7917.6;14522.22;438.0;229.0;38.0;16.0;11.0;127.0;42.0;35.0;105.0;32.0;98.0;87.0;38.0;107.0;11.0;12.0;111.0;0.0;0.0;2.0;0.0;3.0;0.0;384;48624.0;65022.0;169.328125
30136;thumbulator;ARMV6-M;banker_algorithm;int8_t;146;4.9074;48.14;258.0;30.0;708720.09;1802.0;0.02;14722.2;39373.34;828.0;288.0;38.0;16.0;126.0;94.0;101.0;30.0;62.0;110.0;70.0;60.0;54.0;34.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;771;103314.0;138102.0;179.12062256809338
30137;thumbulator;ARMV6-M;banker_algorithm;int8_t;81;7.900523333333333;75.95;269.0;30.0;1800086.0;2882.0;0.01;23701.57;100004.78;1362.0;299.0;38.0;16.0;33.0;53.0;37.0;72.0;52.0;80.0;62.0;69.0;104.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;1311;179630.0;239648.0;182.79786422578184
30138;thumbulator;ARMV6-M;banker_algorithm;int8_t;687;4.07831;41.08;249.0;30.0;502663.86;1506.0;0.02;12234.93;27925.77;682.0;279.0;38.0;16.0;34.0;62.0;77.0;124.0;16.0;93.0;24.0;60.0;14.0;80.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;632;78196.0;106094.0;167.87025316455697
30139;thumbulator;ARMV6-M;banker_algorithm;int8_t;213;3.312;36.64;226.0;30.0;364026.9;1242.0;0.03;9936.0;20223.72;552.0;256.0;38.0;16.0;120.0;45.0;46.0;32.0;60.0;118.0;33.0;44.0;45.0;39.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;508;60990.0;82758.0;162.90944881889763
30140;thumbulator;ARMV6-M;banker_algorithm;int8_t;212;7.891223333333333;76.52;267.0;30.0;1811434.57;2882.0;0.01;23673.67;100635.25;1362.0;297.0;38.0;16.0;69.0;77.0;72.0;40.0;16.0;73.0;29.0;56.0;88.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;1311;179630.0;239648.0;182.79786422578184
30141;thumbulator;ARMV6-M;banker_algorithm;int8_t;568;3.690846666666667;38.28;241.0;30.0;423834.94;1370.0;0.03;11072.54;23546.39;615.0;271.0;38.0;16.0;126.0;101.0;49.0;16.0;109.0;11.0;105.0;60.0;82.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;555;64718.0;89456.0;161.18198198198198
30142;thumbulator;ARMV6-M;banker_algorithm;int8_t;5;0.66962;42.63;38.0;30.0;85640.99;330.0;0.02;2008.86;4757.83;108.0;68.0;38.0;16.0;68.0;60.0;32.0;80.0;10.0;124.0;105.0;52.0;51.0;51.0;36.0;65.0;107.0;0.0;0.0;2.0;0.0;3.0;0.0;44;2610.0;3558.0;80.86363636363636
30143;thumbulator;ARMV6-M;banker_algorithm;int8_t;40;3.3235533333333334;35.84;231.0;30.0;357389.86;1242.0;0.03;9970.66;19854.99;552.0;261.0;38.0;16.0;45.0;61.0;111.0;81.0;102.0;40.0;61.0;126.0;86.0;10.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;524;60990.0;82758.0;157.9351145038168
30144;thumbulator;ARMV6-M;banker_algorithm;int8_t;970;5.804196666666667;57.34;259.0;30.0;998366.74;2130.0;0.02;17412.59;55464.82;990.0;289.0;38.0;16.0;33.0;83.0;32.0;25.0;22.0;119.0;111.0;29.0;119.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;968;126954.0;169393.0;174.99276859504133
30145;thumbulator;ARMV6-M;banker_algorithm;int8_t;707;6.789323333333334;67.38;260.0;30.0;1372488.07;2490.0;0.01;20367.97;76249.34;1168.0;290.0;38.0;16.0;121.0;69.0;33.0;10.0;49.0;24.0;35.0;36.0;21.0;65.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;1132;151094.0;201942.0;178.3939929328622
30146;thumbulator;ARMV6-M;banker_algorithm;int8_t;406;8.475683333333333;81.39;270.0;30.0;2069479.33;3090.0;0.01;25427.05;114971.07;1465.0;300.0;38.0;16.0;128.0;43.0;115.0;69.0;53.0;65.0;20.0;114.0;10.0;11.0;13.0;14.0;15.0;0.0;0.0;2.0;0.0;3.0;0.0;1415;175972.0;240860.0;170.2190812720848
30147;thumbulator;ARMV6-M;banker_algorithm;int8_t;893;1.0268233333333332;29.12;85.0;30.0;89696.05;450.0;0.03;3080.47;4983.11;165.0;115.0;38.0;16.0;94.0;93.0;34.0;96.0;83.0;77.0;102.0;43.0;100.0;104.0;62.0;20.0;109.0;0.0;0.0;2.0;0.0;3.0;0.0;104;10320.0;13908.0;133.73076923076923
30148;thumbulator;ARMV6-M;banker_algorithm;int8_t;144;9.06285;87.66;269.0;30.0;2383293.67;3306.0;0.01;27188.55;132405.2;1572.0;299.0;38.0;16.0;103.0;85.0;97.0;33.0;37.0;69.0;114.0;61.0;50.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;1523;209388.0;279336.0;183.41168745896258
30149;thumbulator;ARMV6-M;banker_algorithm;int8_t;979;0.8823833333333334;32.27;66.0;30.0;85430.91;402.0;0.03;2647.15;4746.16;142.0;96.0;38.0;16.0;107.0;67.0;38.0;106.0;90.0;69.0;32.0;27.0;121.0;102.0;38.0;82.0;88.0;0.0;0.0;2.0;0.0;3.0;0.0;71;7000.0;9518.0;134.05633802816902
30150;thumbulator;ARMV6-M;banker_algorithm;int8_t;831;5.35291;52.13;261.0;30.0;837084.14;1962.0;0.02;16058.73;46504.67;907.0;291.0;38.0;16.0;81.0;10.0;78.0;115.0;15.0;40.0;29.0;48.0;120.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;860;111610.0;150128.0;174.56744186046512
30151;thumbulator;ARMV6-M;banker_algorithm;int8_t;402;0.66727;43.78;37.0;30.0;87646.79;330.0;0.02;2001.81;4869.27;108.0;67.0;38.0;16.0;90.0;21.0;22.0;42.0;20.0;52.0;88.0;37.0;70.0;61.0;10.0;72.0;53.0;0.0;0.0;2.0;0.0;3.0;0.0;35;2610.0;3558.0;101.65714285714286
30152;thumbulator;ARMV6-M;banker_algorithm;int8_t;404;3.6932733333333334;38.12;242.0;30.0;422361.06;1370.0;0.03;11079.82;23464.5;615.0;272.0;38.0;16.0;69.0;109.0;123.0;26.0;57.0;39.0;56.0;59.0;67.0;90.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;555;64718.0;89456.0;161.18198198198198
30153;thumbulator;ARMV6-M;banker_algorithm;int8_t;310;5.814776666666667;56.68;262.0;30.0;988733.76;2130.0;0.02;17444.33;54929.65;990.0;292.0;38.0;16.0;36.0;21.0;70.0;108.0;126.0;66.0;71.0;122.0;117.0;44.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;960;126954.0;169393.0;176.45104166666667
30154;thumbulator;ARMV6-M;banker_algorithm;int8_t;70;2.655876666666667;31.74;207.0;30.0;252885.67;1010.0;0.03;7967.63;14049.2;438.0;237.0;38.0;16.0;77.0;95.0;47.0;50.0;89.0;99.0;39.0;58.0;100.0;64.0;11.0;12.0;109.0;0.0;0.0;2.0;0.0;3.0;0.0;400;48624.0;65022.0;162.555
30155;thumbulator;ARMV6-M;banker_algorithm;int8_t;268;2.664006666666667;31.14;211.0;30.0;248850.99;1010.0;0.03;7992.02;13825.06;438.0;241.0;38.0;16.0;48.0;64.0;64.0;35.0;106.0;24.0;83.0;122.0;10.0;11.0;99.0;49.0;48.0;0.0;0.0;2.0;0.0;3.0;0.0;384;48624.0;65022.0;169.328125
30156;thumbulator;ARMV6-M;banker_algorithm;int8_t;412;1.1844400000000002;28.8;100.0;30.0;102335.56;506.0;0.03;3553.32;5685.31;192.0;130.0;38.0;16.0;51.0;77.0;77.0;19.0;76.0;17.0;12.0;100.0;16.0;69.0;49.0;47.0;118.0;0.0;0.0;2.0;0.0;3.0;0.0;140;13526.0;18374.0;131.24285714285713
30157;thumbulator;ARMV6-M;banker_algorithm;int8_t;290;9.06285;87.66;269.0;30.0;2383293.67;3306.0;0.01;27188.55;132405.2;1572.0;299.0;38.0;16.0;23.0;21.0;11.0;113.0;35.0;117.0;73.0;64.0;123.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;1532;209388.0;279336.0;182.33420365535247
30158;thumbulator;ARMV6-M;banker_algorithm;int8_t;916;4.889156666666667;49.29;252.0;30.0;722896.81;1802.0;0.02;14667.47;40160.93;828.0;282.0;38.0;16.0;46.0;111.0;47.0;109.0;127.0;116.0;35.0;35.0;82.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;780;103314.0;138102.0;177.05384615384617
30159;thumbulator;ARMV6-M;banker_algorithm;int8_t;567;4.9074;48.14;258.0;30.0;708720.09;1802.0;0.02;14722.2;39373.34;828.0;288.0;38.0;16.0;15.0;26.0;82.0;69.0;34.0;54.0;13.0;89.0;91.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;771;103314.0;138102.0;179.12062256809338
30160;thumbulator;ARMV6-M;banker_algorithm;int8_t;913;3.3096633333333334;36.8;225.0;30.0;365386.72;1242.0;0.03;9928.99;20299.26;552.0;255.0;38.0;16.0;85.0;123.0;114.0;125.0;74.0;117.0;32.0;23.0;16.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;508;60990.0;82758.0;162.90944881889763
30161;thumbulator;ARMV6-M;banker_algorithm;int8_t;232;1.0268233333333332;29.12;85.0;30.0;89696.05;450.0;0.03;3080.47;4983.11;165.0;115.0;38.0;16.0;122.0;12.0;39.0;67.0;25.0;39.0;35.0;66.0;67.0;106.0;90.0;13.0;12.0;0.0;0.0;2.0;0.0;3.0;0.0;112;10320.0;13908.0;124.17857142857143
30162;thumbulator;ARMV6-M;banker_algorithm;int8_t;319;4.9043866666666664;48.33;257.0;30.0;711040.76;1802.0;0.02;14713.16;39502.26;828.0;287.0;38.0;16.0;95.0;35.0;53.0;119.0;57.0;33.0;98.0;105.0;28.0;122.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;780;103314.0;138102.0;177.05384615384617
30163;thumbulator;ARMV6-M;banker_algorithm;int8_t;23;6.314073333333334;60.51;267.0;30.0;1146110.72;2306.0;0.02;18942.22;63672.82;1077.0;297.0;38.0;16.0;38.0;95.0;56.0;12.0;60.0;75.0;107.0;122.0;29.0;57.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;1023;126200.0;172748.0;168.86412512218965
30164;thumbulator;ARMV6-M;banker_algorithm;int8_t;899;2.0753566666666665;28.98;176.0;30.0;180414.4;810.0;0.03;6226.07;10023.02;340.0;206.0;38.0;16.0;90.0;73.0;22.0;38.0;123.0;107.0;16.0;49.0;126.0;10.0;58.0;67.0;39.0;0.0;0.0;2.0;0.0;3.0;0.0;300;34922.0;46710.0;155.7
30165;thumbulator;ARMV6-M;banker_algorithm;int8_t;428;3.6859666666666664;38.6;239.0;30.0;426816.57;1370.0;0.03;11057.9;23712.03;615.0;269.0;38.0;16.0;41.0;47.0;116.0;61.0;35.0;45.0;80.0;52.0;117.0;125.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;555;64718.0;89456.0;161.18198198198198
30166;thumbulator;ARMV6-M;banker_algorithm;int8_t;858;6.82191;65.37;268.0;30.0;1337908.89;2490.0;0.02;20465.73;74328.27;1168.0;298.0;38.0;16.0;107.0;106.0;62.0;35.0;23.0;55.0;38.0;93.0;104.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;1115;151094.0;201942.0;181.11390134529148
